pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons
0.0,0.0,0.0,0.0,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.235,0.0,2.725,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,28.5,2.725,0.0,6.516,0.17,0.04,0.037,0.0,0.0,0.056,0.043,0.091,0.0,0.0,0.0,0.0,0.0,2.022,0.235,0.132,0.0,0.0,0.199,0.443,0.22,0.0,0.05
0.326,1.658,0.0,12.1,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,85.5,12.1,0.0,19.305,3.933,0.326,0.128,0.0,0.098,0.151,0.834,0.196,0.027,0.0,0.0,0.0,0.0,17.788,1.658,0.767,0.0,0.198,1.088,3.794,2.022,0.0,0.1
1.554,6.38,0.0,33.9,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,86.0,33.9,0.5,27.493,6.499,1.554,0.619,0.053,0.278,1.267,2.044,1.328,0.053,0.0,0.0,0.0,0.0,21.78,6.38,3.559,0.154,1.865,5.493,7.232,5.761,0.154,0.15
2.168,6.883,0.0,35.4,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,86.5,35.4,1.0,30.475,10.54,2.168,0.776,0.115,0.428,1.806,3.026,2.372,0.115,0.0,0.0,0.0,0.0,27.193,6.883,3.754,0.23,1.79,7.207,8.106,14.916,0.23,0.2
2.587,8.776,0.0,43.15,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,86.0,43.15,28.5,24.627,9.917,2.587,1.433,0.605,0.892,3.503,2.492,6.631,0.605,0.0,0.0,0.0,0.0,25.857,8.776,5.312,3.062,4.258,10.443,6.884,18.669,3.062,0.25
8.248,17.775,0.0,64.75,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,172.0,64.75,9.5,38.946,27.619,8.248,6.729,0.443,2.733,10.893,7.673,23.102,0.443,0.0,0.0,0.0,0.0,49.181,17.775,19.101,1.465,7.831,25.514,12.865,49.181,1.465,0.3
7.326,15.973,0.0,64.675,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,114.0,64.675,29.0,28.261,22.931,7.326,3.713,1.28,2.496,11.029,6.162,22.931,1.28,0.0,0.0,0.0,0.0,37.811,15.973,11.383,3.946,6.839,24.718,10.318,37.811,3.946,0.35
11.39,23.795,0.0,92.625,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,173.5,92.625,29.0,39.075,24.585,11.39,11.171,2.09,5.95,15.098,6.315,24.585,2.09,0.0,0.0,0.0,0.0,39.726,23.795,25.985,6.239,18.067,28.796,9.731,39.726,6.239,0.4
11.464,24.799,0.0,94.0,0.033,1.0,3.509,600.0,3.509,3.509,3.509,3.509,3.509,3.509,0.0,3.509,3.509,0.033,600,600.0,600.0,600,600.0,600.0,0.0,600,600,1.0,172.0,94.0,29.0,38.083,24.163,11.464,12.34,2.149,6.399,14.204,5.974,24.163,2.149,0.0,0.0,0.0,0.0,53.972,24.799,24.741,5.091,18.694,30.759,11.462,46.321,5.091,0.45
