pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.788,8.732,0.0,132.65,0.022,0.703,113.956,5697.8,89.571,114.6,113.956,113.93,113.44,113.82,114.06,0.261,114.2,113.62,0.022,5730,5697.8,5696.5,5672,5691.0,5703.0,13.029,5710,5681,0.703,189.5,132.65,31.0,41.493,1.658,0.788,0.773,0.085,0.473,0.96,0.413,1.658,0.085,0.0,0.0,0.0,0.0,13.457,8.732,9.321,1.557,6.334,10.957,3.174,13.457,1.557,0.0,89.571,89.585,89.439,89.737,0.229,89.948,89.065
0.839,8.035,0.0,110.625,0.022,0.703,113.864,5693.2,85.964,114.44,113.864,113.9,113.4,113.635,114.1,0.289,114.44,113.4,0.022,5722,5693.2,5695.0,5670,5681.75,5705.0,14.462,5722,5670,0.703,170.0,110.625,46.5,37.992,2.015,0.839,0.655,0.124,0.491,1.198,0.544,2.015,0.124,0.0,0.0,0.0,0.0,15.334,8.035,7.568,2.359,5.719,9.969,3.628,15.334,2.359,0.05,85.964,86.004,85.869,86.093,0.189,86.256,85.532
1.652,12.132,0.0,143.3,0.022,0.701,113.909,5695.45,80.479,114.56,113.909,113.92,113.3,113.77,114.045,0.311,114.24,113.42,0.022,5728,5695.45,5696.0,5665,5688.5,5702.25,15.548,5712,5671,0.701,180.0,143.3,62.5,29.249,4.953,1.652,1.346,0.65,1.22,1.68,0.942,1.756,0.65,0.0,0.0,0.0,0.0,22.768,12.132,11.694,6.073,10.235,13.266,3.64,16.798,6.073,0.1,80.479,80.529,80.293,80.65,0.196,80.747,80.161
2.103,13.385,0.0,142.75,0.022,0.701,113.992,5699.6,76.97,114.66,113.992,114.1,113.32,113.78,114.18,0.321,114.66,113.32,0.022,5733,5699.6,5705.0,5666,5689.0,5709.0,16.054,5733,5666,0.701,192.5,142.75,64.5,35.577,4.822,2.103,1.97,0.66,1.505,2.472,1.02,3.609,0.66,0.0,0.0,0.0,0.0,18.263,13.385,13.929,5.74,11.373,16.61,3.782,18.263,5.74,0.15,76.97,76.977,76.837,77.063,0.175,77.283,76.637
3.009,16.704,0.0,152.225,0.022,0.703,113.862,5693.1,71.571,114.46,113.862,113.86,113.44,113.61,114.075,0.273,114.46,113.44,0.022,5723,5693.1,5693.0,5672,5680.5,5703.75,13.667,5723,5672,0.703,187.5,152.225,112.0,21.9,5.051,3.009,2.86,1.9,2.17,3.515,0.965,5.051,1.9,0.0,0.0,0.0,0.0,23.924,16.704,16.112,11.723,14.344,18.378,3.318,23.924,11.723,0.2,71.571,71.55,71.472,71.673,0.187,71.889,71.238
3.877,18.606,0.0,161.45,0.022,0.703,114.033,5701.65,68.047,114.78,114.033,113.84,113.52,113.76,114.33,0.337,114.78,113.52,0.022,5739,5701.65,5692.0,5676,5688.0,5716.5,16.865,5739,5676,0.703,183.0,161.45,121.0,16.244,6.227,3.877,3.683,2.446,3.197,4.322,1.005,5.487,2.446,0.0,0.0,0.0,0.0,24.265,18.606,18.918,13.363,16.189,20.037,2.845,24.265,13.363,0.25,68.047,67.962,67.913,68.194,0.245,68.532,67.635
6.023,23.454,0.0,166.85,0.022,0.702,113.962,5698.1,62.724,114.9,113.962,113.91,113.16,113.76,114.085,0.402,114.56,113.5,0.022,5745,5698.1,5695.5,5658,5688.0,5704.25,20.104,5728,5675,0.702,198.0,166.85,145.5,15.202,9.53,6.023,6.086,3.92,5.105,6.359,1.2,7.529,3.92,0.0,0.0,0.0,0.0,30.22,23.454,23.481,19.554,21.476,24.63,2.546,27.752,19.554,0.3,62.724,62.736,62.647,62.828,0.194,63.048,62.385
6.773,24.741,0.0,169.45,0.022,0.704,113.882,5694.1,59.103,114.46,113.882,113.85,112.84,113.775,114.165,0.401,114.46,113.36,0.022,5723,5694.1,5692.5,5642,5688.75,5708.25,20.07,5723,5668,0.704,195.5,169.45,120.0,19.611,10.375,6.773,6.333,4.569,5.663,7.5,1.606,9.508,4.569,0.0,0.0,0.0,0.0,31.143,24.741,23.479,18.03,22.836,27.269,3.643,31.143,18.03,0.35,59.103,59.095,59.031,59.169,0.215,59.262,58.872
10.801,30.323,0.0,172.525,0.022,0.704,113.822,5691.1,53.672,114.76,113.822,113.75,113.06,113.555,114.105,0.391,114.76,113.06,0.022,5738,5691.1,5687.5,5653,5677.75,5705.25,19.529,5738,5653,0.704,191.0,172.525,124.5,14.645,15.926,10.801,10.042,6.963,9.034,13.809,2.652,15.926,6.963,0.0,0.0,0.0,0.0,36.63,30.323,30.196,24.707,27.182,33.273,3.61,36.63,24.707,0.4,53.672,53.667,53.605,53.783,0.154,53.963,53.349
15.264,35.732,0.0,177.25,0.022,0.703,113.819,5690.95,50.136,114.42,113.819,113.78,113.08,113.68,114.025,0.305,114.42,113.32,0.022,5721,5690.95,5689.0,5654,5684.0,5701.25,15.246,5721,5666,0.703,195.0,177.25,152.5,9.733,19.095,15.264,15.189,11.424,14.104,16.631,2.074,19.095,11.424,0.0,0.0,0.0,0.0,40.222,35.732,35.477,31.919,33.489,38.088,2.55,40.222,31.919,0.45,50.136,50.089,50.054,50.208,0.112,50.399,49.998
