pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
2.989,13.934,0.0,173.5,0.009,0.219,7.32,29.84,366
1.032,4.467,0.0,55.1,0.01,0.197,7.1,29.861,355
2.838,11.778,0.0,147.25,0.01,0.224,7.06,29.805,353
1.115,6.295,0.0,95.75,0.01,0.182,6.94,29.822,347
2.123,11.179,0.0,106.75,0.01,0.197,7.0,29.859,350
0.858,1.617,0.0,17.9,0.01,0.251,6.94,29.832,347
1.145,5.459,0.0,80.792,0.01,0.185,7.24,29.831,362
1.125,3.707,0.0,32.5,0.01,0.176,6.92,29.811,346
1.04,3.254,0.0,28.929,0.01,0.219,7.02,29.844,351
2.994,17.455,0.0,192.5,0.01,0.218,6.96,29.838,348
3.451,15.003,0.0,131.0,0.01,0.218,6.98,29.831,349
3.202,13.781,0.0,119.719,0.009,0.216,7.42,29.846,371
3.703,17.553,0.0,135.25,0.009,0.176,7.28,29.824,364
1.155,7.887,0.0,152.75,0.009,0.196,7.16,29.843,358
2.043,8.243,0.0,87.109,0.01,0.236,7.04,29.875,352
2.214,9.3,0.0,106.708,0.009,0.219,7.3,29.864,365
1.888,8.223,0.0,117.75,0.009,0.18,7.46,29.87,373
1.874,8.97,0.0,85.776,0.009,0.185,7.34,29.846,367
2.839,14.779,0.0,147.0,0.009,0.161,7.58,29.849,379
1.112,5.079,0.0,79.5,0.01,0.226,7.18,29.852,359
