pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
50.632,27.98,0.135,103.135,0.001,0.028,0.771,113.26,113.26,35.954,5663,5663,482,7902,1.0,43.327
50.923,28.317,0.014,107.514,0.0,0.012,0.771,114.26,114.26,35.96,5713,5713,223,8040,1.0,21.646
50.987,28.399,0.202,108.202,0.0,0.014,0.767,113.94,113.94,35.956,5697,5697,239,8099,1.0,21.575
50.558,28.09,0.142,100.858,0.0,0.011,0.772,113.52,113.52,35.954,5676,5676,235,8037,1.0,21.583
50.638,27.985,0.239,103.261,0.0,0.012,0.768,114.12,114.12,35.952,5706,5706,226,8079,1.0,21.585
50.766,28.123,0.016,105.516,0.0,0.014,0.773,114.1,114.1,35.963,5705,5705,241,7999,1.0,21.627
50.545,28.041,0.124,100.124,0.0,0.012,0.764,114.1,114.1,35.958,5705,5705,231,8101,1.0,21.665
50.644,27.991,0.103,103.397,0.0,0.013,0.769,114.0,114.0,35.964,5700,5700,230,7989,1.0,21.575
50.654,28.356,0.094,103.594,0.0,0.014,0.765,113.22,113.22,35.965,5661,5661,245,8071,1.0,21.567
50.536,27.989,0.122,99.122,0.0,0.013,0.771,112.96,112.96,35.958,5648,5648,232,7994,1.0,21.606
50.545,28.043,0.164,100.164,0.0,0.013,0.772,113.34,113.34,35.959,5667,5667,235,8015,1.0,21.601
50.608,27.96,0.053,102.553,0.0,0.013,0.768,113.92,113.92,35.955,5696,5696,231,8031,1.0,21.658
50.612,27.963,0.156,102.656,0.0,0.013,0.772,114.42,114.42,35.966,5721,5721,230,8135,1.0,21.649
51.055,28.49,0.103,108.897,0.0,0.012,0.769,114.04,114.04,35.951,5702,5702,230,8068,1.0,21.568
50.589,27.946,0.006,102.006,0.0,0.013,0.771,113.58,113.58,35.96,5679,5679,240,8116,1.0,21.634
50.902,28.906,0.234,107.266,0.0,0.012,0.771,113.6,113.6,35.948,5680,5680,229,8064,1.0,21.585
50.537,27.998,0.17,99.33,0.0,0.012,0.771,114.74,114.74,35.96,5737,5737,238,8061,1.0,21.623
50.72,28.069,0.204,104.796,0.0,0.011,0.77,113.74,113.74,35.961,5687,5687,226,8078,1.0,21.581
50.548,27.937,0.196,100.304,0.0,0.014,0.772,113.38,113.38,35.956,5669,5669,239,8063,1.0,21.682
50.797,28.684,0.047,105.953,0.0,0.013,0.77,113.78,113.78,35.962,5689,5689,240,8040,1.0,21.642
