generation,entity_id,alpha,theta,max_field_sizes,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
0,0,13.44,2.5,84,5.306,4.046,12.489,1.802,4.678,4.47,5.455,6.084,4.046,4.793,2.989,22.079,4.028,3.753,3.36,4.203,5.206,2.989,0.0,0.0,0.0,0.0,22.5,13.5,90.25,15.986,0.026,1.0,2.748,2.52,2.9,0.099,2.76,2.695,2.805,2.9,2.58,137.4,126.0,145.0,4.964,138.0,134.75,140.25,145.0,129.0,0.0013169908968365764
0,1,6.14,1.02,33,1.495,1.068,4.2,0.684,1.26,1.198,1.436,1.506,1.068,3.401,0.975,20.457,4.437,1.59,1.142,3.221,3.935,0.975,0.0,0.0,0.0,0.0,34.262,5.0,156.0,39.795,0.029,1.0,6.075,5.9,6.28,0.108,6.06,6.015,6.14,6.28,5.9,303.75,295.0,314.0,5.403,303.0,300.75,307.0,314.0,295.0,0.15430791266275293
0,2,0.86,4.42,49,1.338,0.52,4.643,0.884,1.022,0.893,1.514,2.184,0.52,6.404,0.703,20.452,4.635,5.647,3.168,8.101,13.192,0.703,0.0,0.0,0.0,0.0,78.138,3.75,174.0,47.507,0.022,0.772,23.808,22.16,25.64,0.883,23.74,23.125,24.275,25.64,22.16,1190.4,1108.0,1282.0,44.137,1187.0,1156.25,1213.75,1282.0,1108.0,0.1877832595306418
0,3,9.54,1.42,73,2.494,1.634,4.819,0.847,2.183,1.972,2.581,3.272,1.634,3.486,1.376,19.074,4.48,1.774,1.584,2.806,3.374,1.376,0.0,0.0,0.0,0.0,20.775,6.5,125.25,28.94,0.026,1.0,5.873,5.7,6.04,0.086,5.87,5.81,5.925,6.04,5.7,293.65,285.0,302.0,4.304,293.5,290.5,296.25,302.0,285.0,0.04424200751227614
0,4,14.22,4.52,59,9.109,6.524,13.458,1.864,8.798,7.97,9.604,11.887,6.524,6.707,4.985,9.779,1.289,6.202,5.794,7.454,9.779,4.985,0.0,0.0,0.0,0.0,28.738,21.5,43.0,5.643,0.027,1.0,1.071,1.02,1.12,0.03,1.08,1.055,1.085,1.12,1.02,53.55,51.0,56.0,1.499,54.0,52.75,54.25,56.0,51.0,1.135093946771819e-05
0,5,6.22,0.12,4,15.012,9.746,20.862,3.081,14.14,12.954,17.04,20.862,9.746,34.348,25.241,42.925,4.786,33.455,31.893,38.332,42.925,25.241,0.0,0.0,0.0,0.0,177.975,157.5,194.5,8.729,0.026,0.997,6.034,5.8,6.32,0.154,6.01,5.94,6.17,6.32,5.8,301.7,290.0,316.0,7.688,300.5,297.0,308.5,316.0,290.0,7.085520355327864e-09
0,6,5.04,2.22,75,2.593,1.345,5.256,1.287,1.879,1.555,3.8,5.256,1.345,8.031,1.164,24.156,7.41,4.993,1.369,12.656,24.156,1.164,0.0,0.0,0.0,0.0,69.6,6.0,169.5,64.975,0.026,1.0,7.84,7.62,8.12,0.132,7.83,7.765,7.905,8.1,7.62,392.0,381.0,406.0,6.588,391.5,388.25,395.25,405.0,381.0,0.03910685357152454
0,7,0.7,1.06,71,9.084,4.703,13.129,2.375,8.684,7.303,11.09,13.129,4.703,28.502,19.028,36.102,4.314,29.0,26.134,31.469,36.102,19.028,0.0,0.0,0.0,0.0,173.275,154.0,196.0,11.152,0.024,0.78,149.971,143.54,156.78,3.16,150.14,147.97,152.025,156.78,143.54,7498.55,7177.0,7839.0,157.977,7507.0,7398.5,7601.25,7839.0,7177.0,1.171592843449764e-05
0,8,10.44,5.12,55,6.588,4.773,10.057,1.281,6.279,5.807,7.334,8.495,4.773,5.037,3.542,7.791,1.015,4.813,4.351,5.731,7.791,3.542,0.0,0.0,0.0,0.0,23.12,15.25,34.75,5.503,0.028,1.0,1.347,1.22,1.44,0.071,1.36,1.28,1.405,1.44,1.22,67.35,61.0,72.0,3.554,68.0,64.0,70.25,72.0,61.0,0.00026533208683531326
0,9,0.48,3.08,51,3.355,1.039,5.639,1.364,3.359,2.321,4.298,5.639,1.039,16.661,7.15,25.411,4.385,17.34,13.879,19.828,25.411,7.15,0.0,0.0,0.0,0.0,148.4,97.5,189.5,24.893,0.018,0.632,67.636,62.58,70.78,2.335,68.08,67.345,68.885,70.78,67.24,3381.8,3129.0,3539.0,116.762,3404.0,3367.25,3444.25,3539.0,3362.0,0.015086258847125824
