generation,entity_id,field_ratio_threshold,J1,J0,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
0,0,0.66,1.04,-0.7,49.001,44.858,49.994,1.092,49.323,48.731,49.604,49.994,48.014,28.426,27.351,29.03,0.438,28.539,28.207,28.695,29.03,27.672,0.365,0.033,2.188,0.501,101.301,97.401,107.683,2.464,0.001,0.02,114.005,113.24,115.18,0.478,114.05,113.64,114.265,115.18,113.24,35.958,0.005,35.959,35.954,35.961,35.972,35.951,5700.25,5662.0,5759.0,23.923,5702.5,5682.0,5713.25,5759.0,5662.0,2.505071751632063e-27
0,1,0.69,1.42,-0.1,49.231,48.326,49.96,0.476,49.321,48.92,49.704,49.96,48.326,28.591,27.55,29.195,0.39,28.535,28.379,28.835,29.195,28.077,0.181,0.006,0.799,0.197,102.76,98.619,107.917,2.69,0.001,0.021,113.963,113.24,114.72,0.369,113.99,113.765,114.185,114.72,113.24,35.956,0.005,35.957,35.952,35.958,35.964,35.947,5698.15,5662.0,5736.0,18.453,5699.5,5688.25,5709.25,5736.0,5662.0,1.8786376430775468e-27
0,2,0.08,1.52,-0.36,49.057,47.692,49.936,0.636,49.195,48.559,49.601,49.936,47.692,28.606,27.627,29.527,0.539,28.486,28.232,29.01,29.527,27.627,0.521,0.006,4.276,0.978,102.46,98.456,105.709,1.831,0.001,0.019,113.989,113.12,114.82,0.489,113.91,113.635,114.42,114.82,113.12,35.955,0.007,35.956,35.952,35.959,35.968,35.942,5699.45,5656.0,5741.0,24.455,5695.5,5681.75,5721.0,5741.0,5656.0,2.336651482716787e-27
0,3,0.07,1.48,-0.6,48.982,47.378,50.085,0.72,48.978,48.509,49.446,50.085,47.378,28.602,27.328,29.389,0.543,28.621,28.316,29.092,29.389,27.328,0.451,0.003,5.655,1.22,102.766,99.03,108.361,2.602,0.001,0.019,113.941,113.12,114.88,0.45,113.93,113.58,114.23,114.88,113.12,35.956,0.006,35.958,35.952,35.961,35.964,35.945,5697.05,5656.0,5744.0,22.502,5696.5,5679.0,5711.5,5744.0,5656.0,2.5665938824412406e-27
0,4,0.84,1.12,-0.58,48.999,47.221,50.236,0.713,48.982,48.626,49.357,50.236,48.122,28.462,27.312,29.255,0.516,28.59,28.11,28.848,29.255,27.312,0.226,0.052,0.942,0.218,102.415,98.675,108.808,2.407,0.001,0.02,113.946,113.44,114.7,0.293,113.91,113.77,114.05,114.36,113.44,35.957,0.003,35.957,35.955,35.959,35.962,35.95,5697.3,5672.0,5735.0,14.656,5695.5,5688.5,5702.5,5718.0,5672.0,2.51317739674316e-27
0,5,0.37,0.14,-0.8,48.814,45.665,50.484,1.05,48.939,48.395,49.523,50.484,47.659,28.182,25.16,29.312,0.968,28.391,27.873,28.745,29.312,26.709,0.353,0.0,4.143,0.879,101.493,91.385,111.985,4.578,0.001,0.019,114.039,113.02,114.5,0.355,114.12,113.99,114.245,114.5,113.78,35.954,0.005,35.953,35.952,35.958,35.966,35.945,5701.95,5651.0,5725.0,17.758,5706.0,5699.5,5712.25,5725.0,5689.0,3.1672000275532688e-27
0,6,0.05,0.5,-0.1,49.063,47.467,50.428,0.657,48.98,48.707,49.411,50.428,48.351,28.735,27.657,30.131,0.607,28.714,28.256,29.101,30.131,27.657,0.302,0.003,2.749,0.584,103.944,99.327,119.817,4.356,0.001,0.022,114.024,113.22,114.62,0.36,114.1,113.835,114.18,114.62,113.38,35.956,0.005,35.958,35.954,35.96,35.962,35.945,5701.2,5661.0,5731.0,17.993,5705.0,5691.75,5709.0,5731.0,5669.0,2.320145844395647e-27
0,7,0.24,0.56,-0.66,49.093,47.51,50.193,0.632,49.228,48.725,49.592,50.193,47.51,28.625,26.149,30.206,0.795,28.705,28.325,29.119,30.206,27.576,0.498,0.022,2.149,0.648,102.417,96.865,114.176,3.745,0.001,0.018,113.948,113.28,114.72,0.361,113.89,113.785,114.055,114.16,113.46,35.956,0.004,35.955,35.954,35.958,35.963,35.951,5697.4,5664.0,5736.0,18.034,5694.5,5689.25,5702.75,5708.0,5673.0,2.234587318196944e-27
0,8,0.89,1.4,-0.66,49.21,47.823,50.383,0.614,49.192,48.916,49.639,50.383,48.118,28.546,27.134,29.76,0.664,28.539,28.181,28.988,29.76,27.134,0.444,0.006,2.624,0.661,103.13,96.805,112.5,3.27,0.001,0.021,114.022,113.38,114.5,0.329,114.05,113.825,114.32,114.5,113.38,35.956,0.004,35.956,35.952,35.959,35.964,35.947,5701.1,5669.0,5725.0,16.471,5702.5,5691.25,5716.0,5725.0,5669.0,1.9284779434660975e-27
0,9,0.61,0.02,-0.6,49.207,47.876,50.823,0.675,49.039,48.884,49.564,50.339,47.876,28.285,25.975,29.402,0.836,28.599,27.915,28.799,29.402,26.846,0.435,0.003,1.611,0.504,102.043,97.521,107.7,2.476,0.001,0.018,114.038,112.92,114.84,0.476,114.12,113.825,114.345,114.84,113.14,35.957,0.003,35.957,35.956,35.958,35.961,35.954,5701.9,5646.0,5742.0,23.797,5706.0,5691.25,5717.25,5742.0,5657.0,1.9371810029331716e-27
