pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons
0.101,0.291,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.121,0.101,0.1,0.082,0.097,0.106,0.008,0.115,0.091,0.0,0.0,0.0,0.0,0.302,0.291,0.29,0.28,0.289,0.295,0.005,0.302,0.28,0.0
0.13,0.305,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.148,0.13,0.132,0.105,0.123,0.136,0.01,0.148,0.105,0.0,0.0,0.0,0.0,0.311,0.305,0.306,0.293,0.303,0.308,0.004,0.311,0.3,0.05
0.157,0.314,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.173,0.157,0.158,0.134,0.152,0.162,0.008,0.173,0.144,0.0,0.0,0.0,0.0,0.319,0.314,0.315,0.305,0.312,0.316,0.003,0.319,0.309,0.1
0.183,0.323,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.202,0.183,0.183,0.169,0.174,0.19,0.01,0.202,0.169,0.0,0.0,0.0,0.0,0.331,0.323,0.324,0.317,0.319,0.326,0.004,0.331,0.317,0.15
0.202,0.328,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.226,0.202,0.202,0.179,0.195,0.208,0.012,0.226,0.179,0.0,0.0,0.0,0.0,0.333,0.328,0.328,0.321,0.326,0.33,0.003,0.333,0.321,0.2
0.22,0.333,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.251,0.22,0.222,0.196,0.209,0.228,0.013,0.251,0.196,0.0,0.0,0.0,0.0,0.341,0.333,0.331,0.326,0.33,0.336,0.004,0.341,0.326,0.25
0.247,0.338,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.274,0.247,0.244,0.227,0.238,0.252,0.012,0.27,0.227,0.0,0.0,0.0,0.0,0.351,0.338,0.337,0.33,0.334,0.34,0.005,0.347,0.33,0.3
0.257,0.342,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.28,0.257,0.253,0.242,0.249,0.267,0.012,0.28,0.242,0.0,0.0,0.0,0.0,0.351,0.342,0.342,0.33,0.341,0.345,0.005,0.351,0.336,0.35
0.278,0.352,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.304,0.278,0.274,0.254,0.269,0.288,0.013,0.304,0.254,0.0,0.0,0.0,0.0,0.371,0.352,0.351,0.339,0.349,0.354,0.007,0.357,0.345,0.4
0.301,0.358,0.0,3.0,0.031,1.0,2.4,9600.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,3.0,3.0,3.0,0.0,0.326,0.301,0.299,0.275,0.294,0.309,0.011,0.326,0.275,0.0,0.0,0.0,0.0,0.374,0.358,0.359,0.346,0.353,0.363,0.007,0.374,0.346,0.45
