f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,41.071,24.04,73.508,12.345,37.346,32.836,46.277,49.843,24.04,40.214,20.368,63.449,12.29,38.099,29.653,49.826,63.449,20.368,0.063,0.0,0.25,0.108,142.214,76.0,189.75,33.703,275.05,218,360,38.547,262.0,249.75,300.25,360,218,0.021,0.499,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,699.558,16.916,702.662,682.863,707.393,722.851,662.757
0.1,57.6,37.958,76.391,11.831,59.193,48.763,66.135,76.391,37.958,46.157,30.261,66.02,10.604,45.047,35.496,54.545,66.02,30.261,0.025,0.0,0.25,0.075,162.25,110.0,194.25,23.753,315.85,288,350,20.013,317.0,295.75,332.25,350,288,0.014,0.314,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,326.401,21.908,328.823,305.415,339.59,359.891,289.353
0.15,60.401,44.968,80.717,10.02,60.523,52.269,65.504,80.717,44.968,48.215,29.199,56.721,6.755,48.137,46.369,52.908,56.721,38.375,0.0,0.0,0.0,0.0,170.869,109.75,194.5,18.193,319.9,265,350,23.558,323.0,303.5,343.0,350,265,0.016,0.352,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,225.0,225.0,225.0,0.0,225.0,225.0,225.0,225.0,225.0,235.791,18.049,234.32,223.698,242.556,268.415,205.592
0.2,55.825,45.372,90.11,9.254,54.706,49.756,57.404,63.845,45.372,45.987,32.92,58.588,6.951,46.558,41.623,50.631,58.588,32.92,0.0,0.0,0.0,0.0,173.6,150.0,194.0,14.707,306.55,264,351,24.5,302.5,289.5,332.25,351,264,0.017,0.345,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,163.048,15.737,163.418,153.867,172.124,188.41,132.444
0.25,55.834,40.166,83.098,10.199,54.001,48.543,62.831,83.098,40.166,48.419,36.613,58.049,6.208,48.501,45.144,53.237,58.049,36.613,0.012,0.0,0.25,0.054,176.938,156.5,195.5,11.593,294.1,227,352,37.133,292.5,270.0,329.25,352,227,0.017,0.346,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,375.0,375.0,375.0,0.0,375.0,375.0,375.0,375.0,375.0,139.552,11.33,142.643,132.966,148.413,154.588,118.418
0.3,55.47,37.385,83.871,12.571,52.435,49.149,64.095,83.871,37.385,48.521,38.724,59.836,6.676,48.018,42.53,53.975,59.836,38.724,0.0,0.0,0.0,0.0,176.112,142.75,195.25,13.536,290.45,209,339,34.178,287.0,280.5,314.75,339,254,0.015,0.295,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,450.0,450.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,109.999,11.138,109.478,100.913,114.856,128.359,95.696
0.35,53.412,43.399,79.667,8.33,50.815,48.365,55.783,65.723,43.399,49.016,33.978,60.551,6.561,50.665,44.193,53.505,60.551,33.978,0.0,0.0,0.0,0.0,180.775,147.5,196.0,12.697,281.45,234,349,30.18,280.0,256.75,304.0,349,234,0.017,0.322,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,525.0,525.0,525.0,0.0,525.0,525.0,525.0,525.0,525.0,94.022,6.014,94.488,90.186,96.212,104.731,84.346
0.4,57.588,42.638,88.209,10.966,55.413,50.806,59.923,64.007,42.638,48.408,37.678,57.354,5.651,48.356,45.315,53.446,57.354,37.678,0.0,0.0,0.0,0.0,177.138,134.25,196.25,16.507,303.55,233,356,35.193,297.5,286.75,333.0,356,233,0.013,0.236,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,88.249,10.428,86.588,81.199,91.465,103.592,74.058
0.45,54.243,41.597,101.025,15.203,48.907,44.146,59.579,63.221,41.597,47.886,38.331,56.405,4.431,47.452,45.319,50.229,56.405,38.331,0.0,0.0,0.0,0.0,176.812,153.75,196.0,12.938,284.0,227,372,41.431,276.5,255.0,310.75,372,227,0.014,0.255,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,675.0,675.0,675.0,0.0,675.0,675.0,675.0,675.0,675.0,77.556,6.511,78.124,72.559,82.576,89.568,66.422
0.5,54.553,42.211,87.298,9.329,52.62,49.611,56.113,62.559,42.211,45.006,31.002,59.443,6.846,45.655,39.121,50.44,59.443,31.002,0.033,0.0,0.4,0.1,175.075,152.0,194.5,12.252,310.6,253,365,34.073,310.0,282.25,339.5,365,253,0.011,0.193,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,750.0,750.0,750.0,0.0,750.0,750.0,750.0,750.0,750.0,73.957,10.487,72.629,64.035,78.609,94.437,62.117
