f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,5.402,1.471,18.352,3.821,4.996,3.166,5.939,6.74,1.471,17.608,1.445,48.252,11.367,15.487,10.269,22.478,25.875,1.445,0.0,0.0,0.0,0.0,110.025,9.0,183.5,48.477,21.4,0,52,12.784,19.5,12.75,28.75,52,0,0.094,0.007,0.903,0.021,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.0,3.0,0.0,400.0,400.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,15842.437,59.965,15840.169,15807.456,15864.573,15932.58,15731.8,400.0,0.0,354330.0,348135,361306,3469.476,354689.5,351302.75,356959.25,361306,348135,486.5,312,757,124.473,464.0,386.0,590.5,757,312,0.081,0.055,0.118,0.018,0.078,0.069,0.089,0.118,0.055
0.1,7.53,1.47,20.278,5.624,5.767,3.5,10.672,20.278,1.47,21.086,1.575,52.515,13.343,22.402,9.51,29.867,52.515,1.575,0.0,0.0,0.0,0.0,111.275,10.5,188.0,57.863,32.3,1,128,31.536,19.0,13.75,36.0,57,1,0.094,0.008,0.866,0.036,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,6.0,0.0,800.0,800.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,13062.104,89.777,13068.132,12992.94,13129.391,13240.264,12898.457,800.0,0.0,314650.55,308187,320648,3154.977,315297.5,312669.5,316400.5,320648,308187,1308.2,753,2258,351.906,1252.0,1109.75,1465.25,1808,753,0.192,0.15,0.222,0.019,0.195,0.181,0.201,0.222,0.162
0.15,3.26,1.169,6.423,1.371,3.071,2.46,3.859,5.525,1.169,13.042,1.344,25.516,6.807,14.964,7.169,17.413,25.516,1.344,0.0,0.0,0.0,0.0,107.775,10.0,180.0,50.858,11.45,1,29,8.152,8.0,6.5,17.5,29,1,0.086,0.006,0.864,0.029,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,9.0,0.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,10881.422,117.093,10860.524,10794.64,10953.854,11180.114,10729.328,1200.0,0.0,288670.45,282602,291854,2641.75,289406.5,286891.75,290633.75,291854,282602,2058.05,1262,3250,490.29,1995.5,1653.0,2242.75,2925,1262,0.305,0.235,0.368,0.035,0.304,0.28,0.328,0.368,0.235
0.2,3.801,1.426,8.004,1.826,3.983,2.152,5.128,8.004,1.426,17.182,2.958,30.811,8.701,19.409,9.208,24.08,30.811,2.958,0.0,0.0,0.0,0.0,128.05,18.0,193.5,50.751,10.6,3,23,5.38,11.0,6.5,13.0,19,3,0.079,0.004,0.863,0.021,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,1.6,0.0,12.0,0.0,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,9235.179,108.422,9229.853,9171.946,9299.585,9409.136,9016.512,1600.0,0.0,264304.65,259670,268010,2427.923,264539.0,262274.25,265998.0,268010,259670,2628.25,1762,3592,407.704,2686.5,2388.25,2821.5,3253,1762,0.375,0.32,0.408,0.027,0.384,0.365,0.398,0.408,0.32
0.25,2.248,0.9,3.79,0.922,1.898,1.593,3.177,3.79,0.9,10.395,1.48,21.866,6.0,9.711,6.237,14.415,21.866,1.48,0.0,0.0,0.0,0.0,97.25,15.5,182.5,52.814,7.05,3,15,3.398,6.0,5.0,7.25,9,3,0.073,0.003,0.851,0.017,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,15.0,0.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,7911.221,85.047,7908.733,7852.217,7976.553,8055.509,7743.057,2000.0,0.0,240350.75,231083,246839,3742.766,241058.0,238957.5,242334.25,246839,234528,3531.1,2746,4438,387.623,3565.0,3332.75,3664.0,4061,2900,0.458,0.4,0.522,0.028,0.459,0.438,0.474,0.522,0.4
0.3,2.077,0.891,4.543,0.919,2.154,1.193,2.524,3.4,0.891,10.391,0.868,24.117,6.262,11.183,5.111,14.755,24.117,0.868,0.0,0.0,0.0,0.0,93.25,7.5,170.0,49.937,5.25,0,9,2.256,5.0,4.75,6.25,8,3,0.066,0.002,0.842,0.012,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,18.0,0.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,6906.397,93.189,6915.935,6858.766,6963.076,7069.406,6719.085,2400.0,0.0,222325.05,213869,227311,3025.406,223018.0,220352.0,223810.75,227311,218362,4536.2,3934,5070,310.481,4479.0,4300.25,4809.75,5070,3934,0.51,0.472,0.552,0.023,0.514,0.493,0.528,0.552,0.472
0.35,1.915,0.894,4.239,0.903,1.701,1.206,2.399,3.678,0.894,10.358,1.751,23.996,6.623,9.625,4.455,14.006,23.996,1.751,0.0,0.0,0.0,0.0,101.025,17.5,191.5,58.664,5.0,2,11,2.236,4.5,3.0,6.0,8,2,0.061,0.002,0.832,0.012,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,21.0,0.0,2800.0,2800.0,2800.0,0.0,2800.0,2800.0,2800.0,2800.0,2800.0,6048.031,69.987,6039.641,5991.127,6088.593,6220.649,5938.44,2800.0,0.0,203527.05,198976,211377,3199.185,202472.0,201440.5,205746.5,211377,198976,5522.6,4685,6674,424.927,5496.0,5287.75,5683.75,6114,5043,0.565,0.505,0.59,0.02,0.57,0.554,0.577,0.59,0.54
0.4,1.474,0.691,2.848,0.594,1.451,0.909,1.915,2.848,0.691,8.508,0.799,15.04,5.027,10.122,3.279,12.786,15.04,0.799,0.0,0.0,0.0,0.0,102.55,9.5,189.0,60.757,3.55,0,12,2.418,3.0,2.0,4.0,6,0,0.059,0.002,0.832,0.013,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.2,0.0,24.0,0.0,3200.0,3200.0,3200.0,0.0,3200.0,3200.0,3200.0,3200.0,3200.0,5337.873,75.403,5330.0,5290.908,5404.301,5450.335,5182.11,3200.0,0.0,184901.6,179058,190791,2920.24,185636.5,183364.25,186632.5,190791,179058,6020.95,4691,6729,457.046,6034.5,5825.0,6347.0,6729,5511,0.613,0.578,0.66,0.022,0.614,0.599,0.619,0.648,0.578
0.45,1.444,0.789,2.995,0.598,1.306,0.932,1.807,2.995,0.789,8.377,0.946,20.532,5.955,6.201,2.98,13.547,20.532,0.946,0.0,0.0,0.0,0.0,95.45,10.0,188.5,65.48,3.3,1,7,1.453,3.0,2.0,4.0,7,1,0.055,0.001,0.821,0.013,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,3.6,0.0,27.0,0.0,3600.0,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,4768.186,54.517,4755.481,4730.151,4804.542,4853.332,4674.87,3600.0,0.0,167599.8,163535,172282,2515.354,167646.5,165256.25,169481.0,172282,163535,7332.2,6570,9018,610.55,7070.5,6951.75,7549.5,8410,6570,0.653,0.615,0.712,0.023,0.655,0.638,0.66,0.67,0.615
0.5,1.215,0.659,3.133,0.625,1.035,0.746,1.409,2.15,0.659,6.906,0.947,20.424,5.447,5.537,2.14,10.066,20.424,0.947,0.0,0.0,0.0,0.0,86.05,9.0,184.5,58.739,2.7,0,6,1.453,2.0,2.0,3.25,5,1,0.053,0.001,0.809,0.01,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,30.0,0.0,4000.0,4000.0,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,4311.081,63.151,4296.139,4263.222,4362.618,4448.262,4215.312,4000.0,0.0,151720.6,147672,157331,2656.687,150970.0,149878.0,153942.0,157331,147672,8493.35,7598,9525,543.811,8446.5,8059.75,8917.5,9525,7598,0.69,0.642,0.728,0.024,0.691,0.678,0.706,0.728,0.642
