f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,19.725,15.464,25.788,2.882,19.377,17.337,21.113,25.788,15.464,32.956,25.498,39.831,4.319,34.019,29.116,35.854,39.831,25.498,0.0,0.0,0.0,0.0,147.448,97.962,185.25,24.798,133.4,99,184,21.518,131.5,119.0,148.0,184,99,0.03,1.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,5.951,0.001,5.951,5.95,5.951,5.953,5.95
0.1,4.347,1.525,6.702,1.269,4.576,3.336,5.028,6.702,1.525,16.505,7.374,27.492,4.392,16.876,13.712,18.603,21.913,7.374,0.0,0.0,0.0,0.0,134.785,86.167,190.25,31.231,24.9,7,34,7.07,26.0,20.5,31.0,34,7,0.03,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,14.928,0.002,14.928,14.927,14.929,14.932,14.926
0.15,1.258,0.487,3.163,0.66,0.965,0.828,1.574,2.218,0.487,6.384,0.39,16.123,4.297,5.757,3.907,8.867,16.123,0.39,0.0,0.0,0.0,0.0,74.327,1.5,160.5,45.924,5.65,0,18,4.542,5.0,1.0,7.75,11,0,0.029,1.0,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,225.0,225.0,225.0,0.0,225.0,225.0,225.0,225.0,225.0,20.93,0.002,20.93,20.928,20.931,20.934,20.927
0.2,0.581,0.365,1.654,0.318,0.393,0.378,0.724,1.047,0.365,2.582,0.388,11.947,3.284,0.426,0.401,3.506,6.065,0.388,0.0,0.0,0.0,0.0,35.25,1.5,164.5,49.708,1.35,0,6,1.931,0.0,0.0,2.0,4,0,0.031,1.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,29.837,0.002,29.837,29.836,29.838,29.839,29.835
0.25,0.363,0.304,0.994,0.146,0.332,0.323,0.339,0.357,0.304,0.638,0.296,5.87,1.212,0.324,0.318,0.33,0.341,0.305,0.0,0.0,0.0,0.0,5.363,1.0,58.5,12.927,0.35,0,6,1.314,0.0,0.0,0.0,0,0,0.03,1.0,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,375.0,375.0,375.0,0.0,375.0,375.0,375.0,375.0,375.0,35.844,0.002,35.844,35.843,35.845,35.848,35.84
0.3,0.334,0.289,0.694,0.091,0.305,0.295,0.32,0.335,0.289,0.686,0.264,5.497,1.285,0.271,0.267,0.286,0.29,0.264,0.0,0.0,0.0,0.0,8.275,1.0,78.0,21.29,0.15,0,2,0.477,0.0,0.0,0.0,0,0,0.03,1.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,450.0,450.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,44.78,0.002,44.78,44.778,44.781,44.784,44.775
0.35,0.283,0.251,0.432,0.036,0.276,0.269,0.284,0.298,0.251,0.408,0.275,2.465,0.472,0.3,0.294,0.309,0.32,0.275,0.0,0.0,0.0,0.0,3.875,1.0,49.0,10.354,0.05,0,1,0.218,0.0,0.0,0.0,0,0,0.03,1.0,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,525.0,525.0,525.0,0.0,525.0,525.0,525.0,525.0,525.0,50.737,0.002,50.737,50.736,50.739,50.742,50.733
0.4,0.155,0.136,0.178,0.012,0.152,0.146,0.162,0.178,0.136,0.249,0.238,0.265,0.008,0.247,0.242,0.256,0.265,0.238,0.0,0.0,0.0,0.0,1.05,1.0,1.5,0.15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,1.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,59.577,0.002,59.577,59.575,59.579,59.58,59.572
0.45,0.231,0.222,0.252,0.007,0.23,0.225,0.233,0.24,0.222,0.27,0.259,0.288,0.008,0.268,0.264,0.274,0.288,0.259,0.0,0.0,0.0,0.0,1.175,1.0,1.5,0.238,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,675.0,675.0,675.0,0.0,675.0,675.0,675.0,675.0,675.0,65.623,0.003,65.623,65.621,65.624,65.628,65.617
0.5,0.245,0.191,0.991,0.171,0.207,0.201,0.213,0.222,0.191,0.791,0.241,10.993,2.341,0.253,0.25,0.26,0.266,0.241,0.0,0.0,0.0,0.0,8.95,1.0,155.5,33.622,0.1,0,2,0.436,0.0,0.0,0.0,0,0,0.031,1.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,750.0,750.0,750.0,0.0,750.0,750.0,750.0,750.0,750.0,74.559,0.002,74.559,74.558,74.56,74.562,74.556
