pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
1.013,0.877,0.0,7.0,0.025,0.817,2.4,18.0,120.0
1.258,1.178,0.0,7.5,0.025,0.792,2.4,18.0,120.0
1.173,0.96,0.0,7.5,0.024,0.817,2.4,18.0,120.0
1.127,0.931,0.0,6.429,0.023,0.825,2.4,18.0,120.0
1.548,3.271,0.0,26.909,0.024,0.758,2.4,18.0,120.0
1.044,0.841,0.0,6.0,0.022,0.808,2.4,18.0,120.0
0.996,0.798,0.0,5.5,0.024,0.858,2.4,18.0,120.0
1.021,0.81,0.0,5.25,0.022,0.817,2.4,18.0,120.0
1.015,0.805,0.0,4.5,0.022,0.767,2.4,18.0,120.0
2.551,12.008,0.0,134.25,0.024,0.825,2.4,18.0,120.0
1.195,1.101,0.0,6.409,0.021,0.758,2.4,18.0,120.0
1.134,0.952,0.0,5.667,0.024,0.808,2.4,18.0,120.0
1.109,1.046,0.0,8.0,0.023,0.808,2.4,18.0,120.0
1.076,0.795,0.0,4.0,0.022,0.825,2.4,18.0,120.0
0.97,0.8,0.0,4.0,0.022,0.892,2.4,18.0,120.0
1.024,0.777,0.0,5.0,0.024,0.85,2.4,18.0,120.0
1.116,1.035,0.0,9.0,0.024,0.8,2.4,18.0,120.0
1.612,8.376,0.0,167.0,0.024,0.767,2.4,18.0,120.0
1.108,0.947,0.0,5.75,0.022,0.75,2.4,18.0,120.0
1.172,1.134,0.0,10.0,0.024,0.775,2.4,18.0,120.0
