pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
35.212,34.021,0.0,107.0,0.023,0.617,2.4,2.4,18.0,120.0,120.0,12115,470,0.432,336.794
63.592,61.157,0.0,187.0,0.02,0.525,2.4,2.4,18.0,120.0,120.0,12827,702,0.42,377.667
19.939,36.487,0.0,159.25,0.023,0.617,2.4,2.4,18.0,120.0,120.0,12241,511,0.417,343.037
41.919,40.192,0.0,138.0,0.021,0.567,2.4,2.4,18.0,120.0,120.0,12075,574,0.438,356.841
14.572,24.69,0.0,123.75,0.022,0.617,2.4,2.4,18.0,120.0,120.0,11278,506,0.42,316.429
48.989,55.184,0.0,180.75,0.02,0.575,2.4,2.4,18.0,120.0,120.0,12641,567,0.44,353.27
53.557,51.035,0.0,172.75,0.018,0.508,2.4,2.4,18.0,120.0,120.0,11900,722,0.427,367.277
55.989,57.608,0.0,184.75,0.025,0.633,2.4,2.4,18.0,120.0,120.0,12683,553,0.415,333.117
70.143,59.237,0.0,175.25,0.02,0.55,2.4,2.4,18.0,120.0,120.0,12513,675,0.422,357.937
20.564,32.928,0.0,185.0,0.021,0.55,2.4,2.4,18.0,120.0,120.0,12161,486,0.425,299.868
39.241,54.799,0.0,167.25,0.023,0.65,2.4,2.4,18.0,120.0,120.0,11944,435,0.435,313.693
35.371,41.451,0.0,144.75,0.024,0.65,2.4,2.4,18.0,120.0,120.0,12355,457,0.44,324.299
58.069,61.846,0.0,175.25,0.022,0.6,2.4,2.4,18.0,120.0,120.0,11518,496,0.422,343.311
22.556,26.33,0.0,90.75,0.025,0.625,2.4,2.4,18.0,120.0,120.0,11878,486,0.432,316.238
41.77,47.171,0.0,152.25,0.022,0.608,2.4,2.4,18.0,120.0,120.0,11783,476,0.432,333.704
31.964,48.203,0.0,197.25,0.021,0.583,2.4,2.4,18.0,120.0,120.0,12986,535,0.427,323.929
27.666,32.686,0.0,120.0,0.02,0.558,2.4,2.4,18.0,120.0,120.0,12322,618,0.43,349.867
55.848,52.679,0.0,166.0,0.02,0.542,2.4,2.4,18.0,120.0,120.0,12121,593,0.44,360.443
40.35,49.332,0.0,190.5,0.017,0.467,2.4,2.4,18.0,120.0,120.0,13110,746,0.432,386.179
45.74,44.449,0.0,145.5,0.02,0.517,2.4,2.4,18.0,120.0,120.0,12941,676,0.435,366.092
