pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.214,0.227,0.0,1.0,0.02,0.685,12.0,12.0,24.0,600.0,600.0,389,229,0.975,25.573
0.701,7.188,0.0,137.0,0.021,0.675,12.0,12.0,24.0,600.0,600.0,411,219,0.985,25.483
0.205,0.227,0.0,1.0,0.02,0.655,12.0,12.0,24.0,600.0,600.0,432,258,0.98,25.188
0.204,0.215,0.0,0.75,0.02,0.662,12.0,12.0,24.0,600.0,600.0,383,245,0.988,24.947
0.197,0.224,0.0,1.0,0.021,0.67,12.0,12.0,24.0,600.0,600.0,387,228,0.985,25.45
0.258,1.199,0.0,21.9,0.02,0.687,12.0,12.0,24.0,600.0,600.0,396,222,0.988,25.241
0.307,2.237,0.0,44.571,0.02,0.665,12.0,12.0,24.0,600.0,600.0,377,224,0.983,25.448
0.289,1.448,0.0,26.5,0.02,0.698,12.0,12.0,24.0,600.0,600.0,391,212,0.973,25.34
0.183,0.217,0.0,1.0,0.021,0.688,12.0,12.0,24.0,600.0,600.0,401,216,0.985,25.749
0.182,0.228,0.0,1.0,0.021,0.687,12.0,12.0,24.0,600.0,600.0,375,200,0.988,25.744
0.2,0.22,0.0,1.0,0.02,0.675,12.0,12.0,24.0,600.0,600.0,410,238,0.973,25.321
0.252,0.856,0.0,16.667,0.02,0.665,12.0,12.0,24.0,600.0,600.0,417,232,0.98,25.096
0.258,1.216,0.0,24.0,0.021,0.688,12.0,12.0,24.0,600.0,600.0,399,208,0.978,25.568
0.203,0.223,0.0,1.0,0.02,0.687,12.0,12.0,24.0,600.0,600.0,424,220,0.99,25.725
0.229,0.539,0.0,9.875,0.021,0.695,12.0,12.0,24.0,600.0,600.0,414,218,0.988,25.894
0.197,0.214,0.0,1.0,0.021,0.682,12.0,12.0,24.0,600.0,600.0,357,236,0.98,25.848
0.504,6.205,0.0,123.75,0.02,0.685,12.0,12.0,24.0,600.0,600.0,418,217,0.99,25.565
0.215,0.213,0.0,1.0,0.019,0.647,12.0,12.0,24.0,600.0,600.0,403,249,0.978,24.87
0.207,0.226,0.0,1.0,0.021,0.693,12.0,12.0,24.0,600.0,600.0,406,227,0.983,25.692
0.319,2.584,0.0,51.5,0.02,0.658,12.0,12.0,24.0,600.0,600.0,393,211,0.978,25.354
