experiment_id,experiment_num,network_type,time_finished,I,Iloc,J0,J1,T,dead_neuron_ids,disc_step,dt,env_length,expected_mean_field_activity,f,field_loc_offset,init_value,interaction_length,mean_field_activity_remove_background,nf,nmax,nmed,nmin,num_neurons,prob_dead_neurons,random_seed,replace_neuron_attractor,set_field_loc_offset_dyn,tau,vel,description,evaluated_parameter,evaluated_range,num_eval_iters,run_time,random_seed_type,cat_error_threshold,interaction_length_factor,n_min,label
2-4-a,01,FMSMF,12.10.22 - 22:03,0.0,0.05,0.0,0.0,20.0,[3647 2052  124 ... 1974 1453 3871],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.95,time,False,True,0.01,20.0,Lesions of random neurons w/o lateral connections,prob_dead_neurons,"(0.0, 1.0, 0.05)",20,3174,None,None,None,None,None
2-4-a,02,FMSMF,12.10.22 - 22:04,0.0,0.05,0.0,0.0,20.0,"[26 39 30 33 48 14  4 40 38 21 44 35 20  2 49  9 22 10 15 36 13 32  5 23
 25 24  0 45 19 34  8 43 47  1  7 28 31 12 16  6 41 37 46 29 27 11 18]",0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.95,time,False,True,0.01,20.0,Lesions of random neurons w/o lateral connections,prob_dead_neurons,"(0.0, 1.0, 0.05)",20,41,None,None,None,None,None
2-4-a,03,FMSMF,02.11.22 - 15:19,0.0,0.05,0.0,0.0,20.0,"[ 0 36 18 14 48 12 46 32 44  7 27 47 11 19 39 15 42 43 13 26 20 37  1 29
 31 22 34 40 25 35  3 21 49 23 45  6 17 24  8 33 41  2 28  5  9 16 30]",0.5,0.05,200,0.015,0.4,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,50,0.95,1667398794983837231,False,True,0.01,20.0,Lesions of random neurons w/o lateral connections,prob_dead_neurons,"(0.0, 1.0, 0.05)",20,60,time,None,None,None,None
2-4-a,04,FMSMF,02.11.22 - 15:21,0.0,0.05,0.0,0.0,20.0,"[35 40 49 17 27 34 11 21 44 41 14 10 29  4  9 33 18  0 20  7 25 47 26 36
 23 38 39 45 13 43  2 46 16 31 12 24  6 37 22 32 42  3 15  5 28 19  1]",0.5,0.05,200,0.015,0.4,"[1.8181818181818183, 2.2222222222222223, 4.0]",0.01,0.05,True,25,5,9,11,50,0.95,1667398866574274909,False,True,0.01,20.0,Lesions of random neurons w/o lateral connections,prob_dead_neurons,"(0.0, 1.0, 0.05)",20,59,time,None,None,None,None
2-4-a,05,FMSMF,02.11.22 - 15:27,0.0,0.05,0.0,0.0,20.0,"[31  7 23 18 24  3 43 22 49 39  9  4 32 25 13 29  0 12 45 10 34 14 27 33
 11 16  8 15 37  5  2 41 47 35 17 46 19 44 38  6 21 36 26 40 28 42 48]",0.5,0.05,200,0.015,0.4,"[1.8181818181818183, 2.2222222222222223, 10.0]",0.01,0.05,True,22,2,9,11,50,0.95,1667399248308832071,False,True,0.01,20.0,Lesions of random neurons w/o lateral connections,prob_dead_neurons,"(0.0, 1.0, 0.05)",20,54,time,None,None,None,None
3-2-a,01,FMSMF,19.03.23 - 14:56,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,50,0.0,1679237768615705689,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,19,time,10,1,0,F-Opt-2$_{}^{+}$
3-2-a,02,FMSMF,19.03.23 - 14:58,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,100,0.0,1679237927306087981,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,166,time,10,1,0,F-Opt-2$_{}^{+}$
3-2-a,03,FMSMF,19.03.23 - 15:03,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,200,0.0,1679238173780364348,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,251,time,10,1,0,F-Opt-2$_{}^{+}$
3-2-a,04,FMSMF,19.03.23 - 15:15,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,1000,0.0,1679238871814565660,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,722,time,10,1,0,F-Opt-2$_{}^{+}$
3-2-a,05,FMSMF,21.03.23 - 13:38,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,4000,0.0,1679405405413367499,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,9843,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,06,FMSMF,21.03.23 - 13:38,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,1679405916535608216,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,25,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,07,FMSMF,21.03.23 - 13:42,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,100,0.0,1679406128146500587,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,225,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,08,FMSMF,21.03.23 - 13:48,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,200,0.0,1679406477533201979,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,358,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,09,FMSMF,21.03.23 - 14:07,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,1000,0.0,1679407588169622395,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,1169,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,10,FMSMF,21.03.23 - 18:27,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1679422099978870821,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,15563,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,11,FMSMF,22.03.23 - 09:25,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,50,0.0,1679477118915643560,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,30,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,12,FMSMF,22.03.23 - 09:31,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,100,0.0,1679477462069989856,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,368,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,13,FMSMF,22.03.23 - 09:43,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,200,0.0,1679478129205347986,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,695,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,14,FMSMF,22.03.23 - 10:34,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,1000,0.0,1679480977862042909,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,3070,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-a,15,FMSMF,22.03.23 - 19:47,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,4000,0.0,1679511675650743291,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,33191,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,01,FMSMF,23.03.23 - 08:17,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,50,0.0,1679559460510736897,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,15,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,02,FMSMF,23.03.23 - 08:19,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,100,0.0,1679559549044741773,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,93,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,03,FMSMF,23.03.23 - 08:21,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,200,0.0,1679559693293790774,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,148,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,04,FMSMF,23.03.23 - 08:28,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,1000,0.0,1679560091244980111,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,408,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,05,FMSMF,23.03.23 - 08:39,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[0, 10.0, 20.0]",0.01,0.05,True,3,1,2,0,4000,0.0,1679560743865311566,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,667,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,06,FMSMF,23.03.23 - 08:39,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,1679560795685455083,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,16,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,07,FMSMF,23.03.23 - 08:41,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,100,0.0,1679560911075149406,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,122,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,08,FMSMF,23.03.23 - 08:45,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,200,0.0,1679561095212128856,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,185,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,09,FMSMF,23.03.23 - 08:53,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,1000,0.0,1679561588731445895,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,512,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,10,FMSMF,23.03.23 - 09:07,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1679562382058894475,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,813,time,10,1,None,F-Opt-2$_{}^{+}$
3-2-b,11,FMSMF,23.03.23 - 09:15,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,50,0.0,1679562910864373191,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,19,time,10,1,None,F-Opt-2$_{}^{-}$
3-2-b,12,FMSMF,23.03.23 - 09:17,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,100,0.0,1679563065625638340,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,162,time,10,1,None,F-Opt-2$_{}^{-}$
3-2-b,13,FMSMF,23.03.23 - 09:21,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,1.0,"[1.8181818181818183, 2.0, 2.2222222222222223]",0.01,0.05,True,30,9,10,11,200,0.0,1679563297119974936,False,True,0.01,20.0,Median error increase relative to number of fields,f,"(0.05, 1.01, 0.05)",20,235,time,10,1,None,F-Opt-2$_{}^{-}$
