experiment_num,network_type,fitness_max,I,Iloc,J0,J1,T,disc_step,dt,env_length,init_value,nf,num_neurons,prob_dead_neurons,random_seed,tau,vel,opt_f,opt_nmin,opt_nmed,opt_nmax,population_size,mutation_prob,num_generations,parent_selection_scheme,parent_selection_parameter,fitness_fun,time_finished,expected_mean_field_activity,mean_field_activity_remove_background,crossover_enabled,num_eval_iters,f,nmax,nmed,nmin,pos_input_suppression_end,pos_input_suppression_start,opt_J1,opt_J0,replace_neuron_attractor,opt_interaction_length,dead_neuron_ids,interaction_length,selection_rate,mutate_best,reevaluation,field_loc_offset,set_field_loc_offset_dyn,random_seed_type,cat_error_threshold,interaction_length_factor
01,FMSMF,0.82381,0.0,0.05,0,0,20.0,0.5,0.05,200,0.01,18,50,0.0,time,0.01,20.0,"[0.1, 0.5, 0.05]","[1, 12, 1]","[1, 12, 1]","[1, 12, 1]",20,0.25,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),05.10.22 - 02:11,0.015,True,True,20,None,None,None,None,None,None,None,None,False,None,None,0.05,0.2,False,False,"[5.0, 2.5, 3.333333333333334]",True,None,None,None
02,FMSMF,0.74847,0.0,0.05,None,None,20.0,0.5,0.05,200,0.01,8,50,0.0,1666960106073457182,0.01,20.0,"[0.05, 0.5, 0.05]","[1, 12, 1]","[1, 12, 1]","[1, 12, 1]",20,0.25,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),04.11.22 - 15:44,0.015,True,True,20,None,None,None,None,None,None,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",False,None,None,0.05,0.2,False,False,"[4.0, 10.0, 20.0]",True,time,None,None
03,FMSMF,0.0008,0.1,0.05,None,None,20.0,0.5,0.05,200,0.01,17,50,0.0,1667816258531085138,0.01,20.0,"[0.05, 0.5, 0.05]","[1, 12, 1]","[1, 12, 1]","[1, 12, 1]",20,0.25,1720,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),08.11.22 - 11:40,0.015,True,True,20,None,None,None,None,None,None,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",False,None,None,0.05,0.2,False,False,"[2.8571428571428577, 2.2222222222222223, 20.0]",True,time,None,None
04,FMSMF,0.33093,0.0,0.05,None,None,20.0,0.5,0.05,200,0.01,8,50,0.0,1667904381847433206,0.01,20.0,None,None,None,None,20,0.25,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),08.11.22 - 17:36,0.015,True,True,20,0.3,1,2,5,None,None,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",False,None,None,0.05,0.2,False,False,"[4.0, 10.0, 20.0]",True,time,None,None
05,FMSMF,0.73716,0.0,0.05,None,None,20.0,0.5,0.05,200,0.01,30,50,0.0,1667999141175736255,0.01,20.0,None,None,None,None,20,0.25,845,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),10.11.22 - 17:24,0.015,True,True,20,0.4,9,10,11,None,None,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",False,None,None,0.05,0.2,False,False,"[1.8181818181818183, 2.0, 2.2222222222222223]",True,time,None,None
06,FMSMF,0.74758,0.1,0.05,None,None,20.0,0.5,0.05,200,0.01,19,50,0.0,1680020434000368596,0.01,20.0,"[0.05, 1.01, 0.05]","[1, 12, 1]","[1, 12, 1]","[1, 12, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),29.03.23 - 19:09,0.015,True,True,20,None,None,None,None,None,None,"[0.05, 1.5, 0.05]","[-1.0, -0.02, 0.02]",False,None,None,0.05,0.2,False,False,"[2.2222222222222223, 4.0, 4.0]",True,time,10,1
07,FMSMF,0.74691,0.1,0.05,None,None,20.0,0.5,0.05,200,0.01,17,50,0.0,1680165793436297901,0.01,20.0,"[0.05, 2.01, 0.05]","[1, 12, 1]","[1, 12, 1]","[1, 12, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),31.03.23 - 02:41,0.015,True,True,20,None,None,None,None,None,None,"[0.05, 1.5, 0.05]","[-1.0, -0.02, 0.02]",True,None,None,0.05,0.2,False,False,"[10.0, 2.0, 4.0]",True,time,10,1
08,FMSMF,0.80613,0.1,0.05,None,None,20.0,0.5,0.05,200,0.01,22,50,0.0,1680285596654394587,0.01,20.0,"[0.05, 2.01, 0.05]","[1, 16, 1]","[1, 16, 1]","[1, 16, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),01.04.23 - 13:01,0.015,True,True,20,None,None,None,None,None,None,"[0.05, 1.5, 0.05]","[-1.0, -0.02, 0.02]",True,None,None,0.05,0.2,False,False,"[4.0, 4.0, 1.666666666666667]",True,time,10,1
09,FMSMF,0.45637,0.1,0.05,0,0,20.0,0.5,0.05,200,0.01,23,50,0.0,1680355329161789037,0.01,20.0,"[0.05, 2.01, 0.05]","[1, 16, 1]","[1, 16, 1]","[1, 16, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),01.04.23 - 18:07,0.015,True,True,20,None,None,None,None,None,None,None,None,True,None,None,0.05,0.2,False,False,"[2.2222222222222223, 1.8181818181818183, 6.666666666666668]",True,time,10,1
10,FMSMF,0.87294,0.0,0.05,0,0,20.0,0.5,0.05,200,0.01,27,50,0.0,1680597796977498825,0.01,20.0,"[0.05, 2.01, 0.05]","[1, 16, 1]","[1, 16, 1]","[1, 16, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),04.04.23 - 17:22,0.015,True,True,20,None,None,None,None,None,None,None,None,True,None,None,0.05,0.2,False,False,"[5.0, 1.666666666666667, 1.8181818181818183]",True,time,10,1
11,FMSMF,0.0,0.1,0.05,-0.15,0.7,20.0,0.5,0.05,200,0.01,36,50,0.0,1680674689843870622,0.01,20.0,"[0.05, 2.01, 0.05]","[1, 16, 1]","[1, 16, 1]","[1, 16, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),05.04.23 - 13:12,0.015,True,True,20,None,None,None,None,None,None,None,None,True,None,None,0.05,0.2,False,False,"[1.666666666666667, 2.0, 1.4285714285714288]",True,time,10,1
12,FMSMF,0.07822,0.1,0.05,None,None,20.0,0.5,0.05,200,0.01,18,50,0.0,1681575086023335075,0.01,20.0,"[0.05, 1.01, 0.05]","[1, 16, 1]","[1, 16, 1]","[1, 16, 1]",20,0.2,3000,fitness-weighting,None,np.exp(-pos_error_mean*5/pos_error_max),16.04.23 - 06:42,0.015,True,True,20,None,None,None,None,260.0,240.0,"[0.05, 1.5, 0.05]","[-1.0, -0.02, 0.02]",True,None,None,0.05,0.2,False,False,"[1.666666666666667, 20.0, 4.0]",True,time,10,1
