pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons
0.0,0.0,0.0,0.0,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.383,15.186,0.0,94.35,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,173.0,94.35,36.0,49.807,5.66,4.383,4.307,3.818,4.08,4.603,0.481,5.221,3.818,0.0,0.0,0.0,0.0,20.769,15.186,15.129,11.085,12.008,16.882,3.171,20.769,11.085,0.05
8.496,20.482,0.0,128.275,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,184.5,128.275,36.0,43.886,11.12,8.496,8.365,7.227,7.813,8.639,0.935,9.455,7.227,0.0,0.0,0.0,0.0,28.323,20.482,18.703,15.262,17.937,23.231,3.653,28.323,15.262,0.1
15.871,26.96,0.0,163.125,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,184.5,163.125,103.5,26.059,20.934,15.871,15.593,13.847,14.94,16.166,1.67,17.87,13.847,0.0,0.0,0.0,0.0,36.644,26.96,27.088,21.968,23.375,29.424,3.908,36.644,21.968,0.15
19.898,29.527,0.0,169.25,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,193.5,169.25,115.5,20.89,24.431,19.898,19.127,17.028,17.847,21.594,2.217,24.431,17.028,0.0,0.0,0.0,0.0,37.515,29.527,28.813,23.412,26.087,33.44,4.402,37.515,23.412,0.2
22.745,30.878,0.0,171.05,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,194.5,171.05,115.5,20.325,28.677,22.745,22.551,19.438,21.35,24.329,2.193,28.677,19.438,0.0,0.0,0.0,0.0,38.217,30.878,31.943,22.085,27.546,34.751,4.504,38.217,22.085,0.25
30.179,35.256,0.0,179.325,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,194.5,179.325,149.0,11.837,41.323,30.179,30.206,23.896,27.777,31.941,3.996,36.985,23.896,0.0,0.0,0.0,0.0,45.928,35.256,34.448,26.733,32.354,38.1,4.932,45.928,26.733,0.3
32.297,35.7,0.0,181.25,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,194.0,181.25,171.5,7.962,43.548,32.297,31.927,24.311,27.773,36.311,5.033,43.548,24.311,0.0,0.0,0.0,0.0,43.603,35.7,36.529,24.497,31.542,39.869,5.321,43.603,24.497,0.35
34.78,36.833,0.0,179.925,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,197.5,179.925,171.5,7.034,44.839,34.78,34.195,27.965,32.15,36.106,3.89,41.307,27.965,0.0,0.0,0.0,0.0,43.928,36.833,37.082,27.9,35.047,39.061,3.938,43.928,32.828,0.4
42.525,38.22,0.0,180.725,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,195.5,180.725,158.0,11.528,53.115,42.525,43.307,33.915,37.07,48.051,5.932,53.115,33.915,0.0,0.0,0.0,0.0,46.854,38.22,37.199,30.004,34.159,43.141,5.327,46.854,30.004,0.45
46.551,41.09,0.0,186.45,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,195.0,186.45,171.5,8.492,62.386,46.551,44.906,37.576,42.634,50.253,6.475,58.902,37.576,0.0,0.0,0.0,0.0,49.221,41.09,41.46,31.985,38.032,44.319,4.453,49.221,31.985,0.5
46.143,39.428,0.0,182.975,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,194.0,182.975,171.5,8.016,59.046,46.143,47.593,34.318,42.386,49.682,6.11,59.046,34.318,0.0,0.0,0.0,0.0,45.905,39.428,40.966,28.353,37.327,42.902,4.771,45.905,30.271,0.55
53.29,42.198,0.0,181.55,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,195.0,181.55,171.5,7.52,72.995,53.29,53.501,38.423,49.455,57.052,7.352,60.667,38.423,0.0,0.0,0.0,0.0,52.176,42.198,43.039,32.145,40.623,44.216,4.139,46.29,37.374,0.6
56.073,43.246,0.0,185.588,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,197.0,185.588,171.0,8.789,68.972,56.073,55.87,43.653,53.012,59.536,5.954,68.972,43.653,0.0,0.0,0.0,0.0,50.087,43.246,44.5,34.609,40.467,46.623,4.463,50.087,34.609,0.65
59.805,44.231,0.0,183.812,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,197.0,183.812,172.5,7.763,66.498,59.805,60.851,49.19,55.854,63.543,4.69,66.498,49.19,0.0,0.0,0.0,0.0,50.969,44.231,44.827,34.442,42.694,46.732,3.761,50.969,37.323,0.7
61.564,43.307,0.0,172.625,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,197.0,172.625,104.5,22.884,73.535,61.564,61.545,49.639,56.397,66.939,6.891,73.535,49.639,0.0,0.0,0.0,0.0,53.121,43.307,44.167,28.906,40.66,47.718,6.725,53.121,30.31,0.75
61.099,41.404,0.019,166.178,0.028,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.028,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,195.5,166.178,108.25,24.897,80.674,61.099,60.111,49.487,53.833,67.384,8.397,80.674,49.487,0.222,0.019,0.0,0.059,54.767,41.404,41.849,28.755,34.869,47.13,7.427,54.767,28.755,0.8
63.728,43.17,0.037,165.432,0.028,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.028,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,194.5,165.432,105.0,28.749,80.182,63.728,64.678,49.676,56.327,71.207,9.157,80.182,49.676,0.583,0.037,0.0,0.13,54.2,43.17,45.655,28.827,38.17,49.27,7.921,54.2,28.827,0.85
52.958,32.15,0.227,116.073,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,173.5,116.073,99.0,20.462,77.72,52.958,49.908,49.425,49.621,50.75,8.141,51.493,49.425,2.25,0.227,0.0,0.495,53.049,32.15,29.37,28.577,28.799,30.993,7.077,31.866,28.577,0.9
49.65,28.832,0.174,102.599,0.029,1.0,29.852,806.0,29.852,29.852,29.852,29.852,29.852,29.852,0.0,29.852,29.852,0.029,806,806.0,806.0,806,806.0,806.0,0.0,806,806,1.0,114.25,102.599,97.75,3.86,50.713,49.65,49.526,49.5,49.511,49.628,0.279,49.697,49.5,1.25,0.174,0.0,0.264,30.584,28.832,28.623,28.557,28.598,28.799,0.463,28.918,28.557,0.95
