pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.0,0.0,0.0,0.0,0.028,1.0,17.737,1011.0,30.766,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.766,30.766,30.762,30.77,0.005,30.772,30.756
3.009,15.165,0.0,120.45,0.028,1.0,17.737,1011.0,29.675,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,137.0,120.45,57.0,24.775,5.886,3.009,3.013,1.463,2.267,3.467,0.974,4.264,1.463,0.0,0.0,0.0,0.0,23.066,15.165,14.742,10.1,13.008,17.517,3.018,23.066,10.1,0.05,29.675,29.667,29.656,29.684,0.029,29.723,29.625
7.741,24.69,0.0,136.225,0.028,1.0,17.737,1011.0,28.059,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,137.0,136.225,123.5,2.926,10.874,7.741,8.043,5.133,6.878,8.789,1.425,10.874,5.133,0.0,0.0,0.0,0.0,28.6,24.69,24.62,21.334,23.361,25.481,1.975,28.6,21.334,0.1,28.059,28.051,28.022,28.087,0.048,28.18,27.983
12.152,30.221,0.0,136.25,0.028,1.0,17.737,1011.0,26.447,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,148.5,136.25,123.5,4.928,16.254,12.152,11.826,8.313,10.412,14.304,2.284,16.254,8.313,0.0,0.0,0.0,0.0,35.622,30.221,31.117,23.44,28.017,32.325,2.947,35.622,23.44,0.15,26.447,26.454,26.412,26.488,0.058,26.548,26.302
17.035,34.817,0.0,142.7,0.028,1.0,17.737,1011.0,24.84,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,190.0,142.7,136.5,13.552,21.57,17.035,16.968,11.162,15.947,18.393,2.357,21.57,13.492,0.0,0.0,0.0,0.0,39.292,34.817,35.218,28.808,33.213,36.685,2.481,39.292,28.808,0.2,24.84,24.818,24.784,24.88,0.082,24.957,24.73
23.299,39.356,0.0,152.725,0.028,1.0,17.737,1011.0,23.215,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,190.0,152.725,137.0,20.473,29.221,23.299,22.678,18.745,21.027,25.382,2.901,29.221,18.745,0.0,0.0,0.0,0.0,44.348,39.356,39.052,34.127,37.912,41.154,2.525,44.348,34.127,0.25,23.215,23.216,23.174,23.291,0.075,23.333,23.069
28.258,42.294,0.0,156.938,0.028,1.0,17.737,1011.0,21.556,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,193.5,156.938,137.0,15.922,36.292,28.258,28.568,22.092,26.518,29.614,3.351,33.551,22.092,0.0,0.0,0.0,0.0,46.47,42.294,42.191,36.21,40.391,45.092,2.701,46.47,36.21,0.3,21.556,21.557,21.506,21.597,0.065,21.701,21.449
30.475,43.263,0.0,157.575,0.028,1.0,17.737,1011.0,20.53,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,193.5,157.575,137.0,16.18,38.575,30.475,30.026,25.941,27.583,32.952,3.53,38.575,25.941,0.0,0.0,0.0,0.0,46.678,43.263,43.643,38.517,41.162,45.107,2.337,46.678,38.517,0.35,20.53,20.517,20.478,20.578,0.071,20.684,20.422
38.076,45.941,0.0,159.75,0.028,1.0,17.737,1011.0,18.865,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,190.0,159.75,137.0,14.944,44.77,38.076,37.592,28.811,35.958,40.107,4.065,44.77,31.575,0.0,0.0,0.0,0.0,49.518,45.941,45.595,43.295,44.477,46.965,1.76,49.518,43.295,0.4,18.865,18.876,18.838,18.898,0.085,18.949,18.769
41.229,46.706,0.0,164.825,0.028,1.0,17.737,1011.0,17.285,17.737,17.737,17.737,17.737,17.737,17.737,0.0,17.737,17.737,0.028,1011,1011.0,1011.0,1011,1011.0,1011.0,0.0,1011,1011,1.0,192.5,164.825,150.5,13.996,47.61,41.229,40.583,34.524,39.385,42.872,3.129,47.61,34.524,0.0,0.0,0.0,0.0,49.602,46.706,46.495,44.265,45.422,47.754,1.418,49.602,44.265,0.45,17.285,17.318,17.208,17.359,0.084,17.402,17.099
