pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons
1.158,0.901,0.0,5.288,0.031,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,9.75,5.288,3.5,1.243,1.266,1.158,1.148,1.051,1.116,1.195,0.056,1.266,1.051,0.0,0.0,0.0,0.0,1.116,0.901,0.871,0.751,0.848,0.94,0.089,1.048,0.751,0.0
1.256,1.098,0.0,7.262,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,23.5,7.262,4.25,4.236,1.552,1.256,1.258,1.015,1.206,1.287,0.113,1.31,1.088,0.0,0.0,0.0,0.0,2.177,1.098,1.015,0.754,0.963,1.094,0.323,1.149,0.799,0.05
1.56,2.757,0.0,26.525,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,121.75,26.525,4.5,36.043,2.281,1.56,1.497,1.237,1.396,1.562,0.262,1.593,1.237,0.0,0.0,0.0,0.0,8.688,2.757,1.466,0.996,1.211,1.897,2.786,1.908,0.996,0.1
1.952,4.446,0.0,32.463,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,152.0,32.463,4.0,43.945,4.166,1.952,1.459,1.023,1.402,1.943,0.944,2.738,1.023,0.0,0.0,0.0,0.0,18.673,4.446,1.324,0.769,1.128,4.863,5.616,9.277,0.769,0.15
2.287,4.579,0.0,36.288,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,121.5,36.288,5.5,40.502,9.473,2.287,1.628,1.402,1.51,1.967,1.834,2.398,1.402,0.0,0.0,0.0,0.0,24.272,4.579,1.55,1.174,1.363,5.274,6.207,8.737,1.174,0.2
2.794,6.765,0.0,50.138,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,150.25,50.138,5.5,48.798,7.333,2.794,2.046,1.472,1.736,3.131,1.581,4.509,1.472,0.0,0.0,0.0,0.0,23.374,6.765,3.308,1.16,1.714,9.946,6.783,20.789,1.16,0.25
3.799,11.161,0.0,80.838,0.031,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.031,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,152.0,80.838,10.75,44.526,7.408,3.799,3.238,1.739,2.482,5.052,1.796,7.408,1.739,0.0,0.0,0.0,0.0,23.138,11.161,10.594,1.724,5.803,16.808,6.895,23.138,1.724,0.3
3.493,9.335,0.0,74.412,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,188.25,74.412,10.0,46.3,7.032,3.493,3.186,1.77,2.175,4.442,1.498,7.032,1.77,0.0,0.0,0.0,0.0,27.726,9.335,6.265,1.63,4.881,12.333,7.263,22.669,1.63,0.35
6.348,17.889,0.0,109.925,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,175.5,109.925,26.0,46.291,20.04,6.348,5.595,2.296,3.981,7.132,4.04,10.499,2.296,0.0,0.0,0.0,0.0,43.711,17.889,17.727,3.954,11.733,20.507,10.225,29.074,3.954,0.4
6.031,15.049,0.0,95.706,0.032,1.0,2.4,120.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,164.5,95.706,20.25,44.686,19.996,6.031,4.815,2.538,3.244,7.783,3.866,9.539,2.538,0.0,0.0,0.0,0.0,39.745,15.049,14.185,3.74,6.909,21.044,9.072,39.745,3.74,0.45
