pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.153,0.247,0.0,1.075,0.032,1.0,12.0,600.0,59.576,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,1.5,1.075,1.0,0.179,0.176,0.153,0.156,0.133,0.143,0.161,0.012,0.176,0.133,0.0,0.0,0.0,0.0,0.278,0.247,0.249,0.224,0.238,0.254,0.012,0.26,0.224,0.0,59.576,59.576,59.574,59.577,0.002,59.581,59.572
0.222,0.651,0.0,7.638,0.032,1.0,12.0,600.0,57.14,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,65.5,7.638,1.0,16.373,0.509,0.222,0.195,0.17,0.187,0.203,0.078,0.208,0.17,0.0,0.0,0.0,0.0,4.266,0.651,0.277,0.264,0.272,0.288,0.985,0.294,0.264,0.05,57.14,57.104,56.988,57.436,0.363,57.713,56.351
0.361,2.153,0.0,37.95,0.032,1.0,12.0,600.0,53.708,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,162.5,37.95,1.5,51.685,0.653,0.361,0.273,0.225,0.252,0.446,0.14,0.653,0.225,0.0,0.0,0.0,0.0,8.15,2.153,0.339,0.298,0.313,3.883,2.531,8.15,0.298,0.1,53.708,53.762,53.474,53.953,0.443,54.67,52.841
0.466,2.814,0.0,45.288,0.032,1.0,12.0,600.0,51.117,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,161.5,45.288,1.5,50.843,1.117,0.466,0.367,0.263,0.289,0.552,0.245,0.872,0.263,0.0,0.0,0.0,0.0,9.607,2.814,1.826,0.318,0.335,3.803,3.043,8.474,0.318,0.15,51.117,51.139,50.621,51.497,0.698,52.566,49.947
0.894,5.623,0.0,74.2,0.032,1.0,12.0,600.0,47.827,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,179.0,74.2,1.5,53.264,2.435,0.894,0.668,0.321,0.463,1.043,0.599,1.796,0.321,0.0,0.0,0.0,0.0,14.357,5.623,4.517,0.352,2.071,8.125,4.354,14.357,0.352,0.2,47.827,47.71,47.134,48.308,0.857,49.7,46.33
1.171,7.693,0.0,91.1,0.032,1.0,12.0,600.0,45.286,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,178.0,91.1,1.5,49.011,2.461,1.171,1.207,0.36,0.776,1.485,0.57,2.461,0.36,0.0,0.0,0.0,0.0,16.088,7.693,7.503,0.354,4.931,10.639,4.505,16.088,0.354,0.25,45.286,45.235,44.712,45.904,0.824,46.893,43.931
2.764,15.334,0.0,150.812,0.032,1.0,12.0,600.0,41.208,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,190.0,150.812,73.5,32.014,5.919,2.764,2.822,0.599,1.927,3.385,1.173,4.1,0.599,0.0,0.0,0.0,0.0,25.388,15.334,15.84,3.705,11.818,18.67,5.135,25.388,3.705,0.3,41.208,41.211,40.253,41.897,0.969,42.82,39.626
3.024,15.338,0.0,141.738,0.032,1.0,12.0,600.0,39.197,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,175.5,141.738,86.0,21.473,6.241,3.024,2.795,1.295,2.238,3.509,1.206,5.194,1.295,0.0,0.0,0.0,0.0,25.149,15.338,14.894,7.889,12.357,16.811,4.469,21.591,7.889,0.35,39.197,39.35,38.646,39.967,1.3,41.382,37.06
5.521,21.847,0.0,161.512,0.032,1.0,12.0,600.0,35.845,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,191.25,161.512,90.0,22.908,7.926,5.521,5.489,3.379,4.532,6.742,1.281,7.926,3.379,0.0,0.0,0.0,0.0,29.498,21.847,22.472,13.789,19.973,23.957,3.82,29.498,14.921,0.4,35.845,36.168,35.267,36.499,1.024,37.45,33.87
6.945,24.009,0.0,163.15,0.032,1.0,12.0,600.0,33.349,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.032,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,1.0,196.0,163.15,117.0,20.883,10.386,6.945,6.78,3.451,5.448,8.574,1.927,10.386,3.451,0.0,0.0,0.0,0.0,33.356,24.009,24.366,14.755,21.661,26.456,4.685,33.356,14.755,0.45,33.349,33.273,32.98,33.729,0.783,34.608,32.0
