prob_dead_neurons,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_max_mean,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_min,mean_field_activity_max,mean_field_activity_std,mean_field_activity_median,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_whishi,mean_field_activity_whislo,perc_correct_fields_mean,perc_correct_fields_min,perc_correct_fields_max,perc_correct_fields_std,perc_correct_fields_median,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_whishi,perc_correct_fields_whislo,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.0,0.005,0.0,0.081,0.017,0.001,0.0,0.001,0.003,0.0,0.095,0.0,1.556,0.335,0.025,0.0,0.025,0.035,0.0,0.0,1.875,0.05,0.0,0.0,0.0,0,0,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.913,0.908,0.917,0.003,0.914,0.911,0.915,0.917,0.908,44.8,0.0,44.8,0.0,24.0,0.0,16267.3,16230,16315,21.543,16271.0,16251.5,16280.25,16315,16230,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,60.041,0.005,60.041,60.036,60.043,60.051,60.03
0.05,0.045,0.0,0.404,0.098,0.003,0.001,0.006,0.006,0.0,0.865,0.0,7.879,1.922,0.035,0.025,0.056,0.056,0.0,0.0,17.1,0.2,0.0,0.0,0.0,0,0,0.028,0.027,0.028,0.0,0.028,0.028,0.028,0.028,0.027,0.912,0.905,0.918,0.004,0.913,0.911,0.914,0.915,0.909,44.8,0.0,42.966,0.141,24.0,0.0,15614.2,15572,15635,16.188,15616.0,15604.75,15628.25,15635,15572,154.65,124,183,12.654,153.0,145.0,161.5,183,124,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,57.584,0.192,57.564,57.484,57.723,57.933,57.165
0.1,0.072,0.004,0.473,0.108,0.014,0.009,0.104,0.167,0.004,1.217,0.043,6.94,1.735,0.131,0.066,1.97,3.237,0.043,0.0,23.15,0.45,0.0,0.0,1.0,2,0,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.913,0.904,0.923,0.005,0.913,0.909,0.918,0.923,0.904,44.8,0.0,40.327,0.187,24.0,0.0,14637.45,14594,14692,23.598,14636.5,14620.75,14649.0,14670,14594,371.75,342,415,16.935,370.5,361.0,379.0,396,342,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,54.065,0.308,54.07,53.97,54.187,54.442,53.663
0.15,0.24,0.004,0.789,0.238,0.171,0.012,0.365,0.789,0.004,3.357,0.043,9.264,3.07,2.748,0.077,5.549,9.264,0.043,0.0,58.75,1.4,1.0,0.0,2.25,4,0,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.914,0.905,0.925,0.005,0.912,0.911,0.917,0.925,0.905,44.8,0.0,38.456,0.251,24.0,0.0,13996.35,13957,14075,30.03,13994.5,13971.5,14013.0,14075,13957,531.5,500,572,21.853,528.0,516.25,551.75,572,500,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,51.549,0.348,51.569,51.378,51.747,52.078,50.902
0.2,0.8,0.205,1.851,0.396,0.731,0.551,0.875,1.289,0.205,8.686,3.714,14.263,2.799,7.997,6.714,10.704,14.263,3.714,0.0,128.975,3.95,4.0,3.0,5.0,8,1,0.028,0.027,0.028,0.0,0.028,0.028,0.028,0.028,0.027,0.913,0.903,0.926,0.006,0.914,0.909,0.918,0.926,0.903,44.8,0.0,35.855,0.322,24.0,0.0,13006.65,12963,13067,26.56,13009.0,12985.0,13023.75,13067,12963,748.05,709,793,25.089,743.5,729.25,770.5,793,709,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,48.014,0.453,47.977,47.605,48.334,48.912,47.417
0.25,1.255,0.553,2.583,0.504,1.131,0.866,1.483,2.158,0.553,10.166,5.147,15.999,2.604,10.273,9.039,11.117,13.95,6.454,0.0,127.45,7.4,7.0,5.75,9.0,13,2,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.028,0.028,0.914,0.903,0.927,0.006,0.914,0.91,0.919,0.927,0.903,44.8,0.0,34.043,0.353,24.0,0.0,12367.1,12321,12438,30.202,12362.5,12340.0,12385.0,12438,12321,893.7,844,978,30.118,885.0,876.25,909.5,937,844,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,45.649,0.405,45.659,45.441,45.911,46.227,44.943
0.3,2.527,1.208,3.88,0.707,2.55,1.942,2.85,3.88,1.208,15.06,9.053,21.299,2.989,15.321,13.568,16.839,21.299,9.053,0.0,149.925,14.2,14.0,11.75,18.0,19,9,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.913,0.905,0.921,0.004,0.914,0.909,0.916,0.921,0.905,44.8,0.0,31.393,0.34,24.0,0.0,11390.15,11336,11464,30.251,11387.5,11366.25,11410.5,11464,11336,1117.4,1077,1185,25.67,1113.0,1104.5,1134.0,1144,1077,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,42.006,0.449,42.079,41.668,42.184,42.862,41.115
0.35,4.411,3.466,6.476,0.738,4.301,3.874,4.757,5.456,3.466,20.308,16.48,25.521,2.163,20.318,18.831,21.869,25.521,16.48,0.0,165.425,23.5,23.0,21.0,25.25,31,16,0.028,0.027,0.028,0.0,0.028,0.028,0.028,0.028,0.027,0.912,0.906,0.92,0.005,0.911,0.908,0.916,0.92,0.906,44.8,0.0,29.529,0.329,24.0,0.0,10733.1,10681,10773,27.855,10736.0,10715.25,10755.5,10773,10681,1270.65,1197,1314,27.846,1277.5,1257.5,1289.5,1314,1225,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,39.518,0.442,39.474,39.216,39.723,40.018,38.866
0.4,7.492,5.12,9.846,1.349,7.636,6.517,8.581,9.846,5.12,25.631,18.639,32.313,3.261,26.159,23.076,27.495,32.313,18.639,0.0,166.975,40.7,40.0,36.5,46.0,50,29,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.913,0.898,0.929,0.009,0.913,0.907,0.919,0.929,0.898,44.8,0.0,26.998,0.315,24.0,0.0,9751.1,9680,9797,32.83,9758.0,9735.5,9777.5,9797,9680,1483.15,1434,1532,26.532,1484.0,1471.25,1500.25,1532,1434,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,36.191,0.458,36.24,35.881,36.554,36.995,35.231
0.45,10.922,8.13,16.085,2.098,10.123,9.273,12.18,16.085,8.13,30.999,25.031,39.082,3.651,30.323,28.731,32.892,39.082,25.031,0.0,177.525,57.1,56.5,52.25,65.0,74,43,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.913,0.902,0.93,0.007,0.911,0.908,0.916,0.926,0.902,44.8,0.0,25.229,0.353,24.0,0.0,9096.7,9027,9143,30.097,9104.0,9074.5,9121.0,9143,9027,1630.7,1572,1694,32.974,1632.5,1610.25,1654.25,1694,1572,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,33.795,0.536,33.929,33.312,34.196,34.65,32.759
