pos_error_mean,pos_error_std,pos_error_min,pos_error_max,pos_error_num_cat,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,f,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_num_cat_max,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_min,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_std,pos_error_num_cat_whishi,pos_error_num_cat_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
5.073,8.65,0.25,53.075,26.55,0.044,0.915,0.15,30.0,3611.934,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.05,0.044,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.915,147.25,53.075,5.75,47.394,14.657,5.073,3.831,2.509,3.09,5.871,3.008,9.923,2.509,0.25,0.25,0.25,0.0,79,26.55,20.5,0,8.75,37.5,22.076,79,0,31.382,8.65,3.605,1.479,2.372,14.437,8.144,31.382,1.479,3611.934,3605.043,3603.901,3621.017,14.763,3638.725,3586.974
7.015,15.654,0.231,89.925,32.6,0.06,0.892,0.3,60.0,3284.032,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.1,0.06,60.0,60.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0.892,176.25,89.925,11.25,62.345,26.912,7.015,4.992,2.117,3.171,9.044,5.737,13.514,2.117,0.25,0.231,0.0,0.061,122,32.6,29.0,3,10.5,43.75,29.054,73,3,42.745,15.654,10.581,1.914,3.325,26.751,13.051,42.745,1.914,3284.032,3282.54,3253.054,3313.639,38.363,3348.307,3219.758
12.447,23.048,0.0,110.525,67.0,0.068,0.869,0.45,90.0,3032.515,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.15,0.068,90.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0.869,175.5,110.525,15.0,53.337,30.16,12.447,7.845,3.628,5.305,18.227,8.587,30.16,3.628,0.0,0.0,0.0,0.0,163,67.0,55.0,13,29.25,86.25,46.693,163,13,54.177,23.048,20.442,2.914,11.877,33.16,14.718,54.177,2.914,3032.515,3022.867,3010.156,3055.044,39.363,3121.395,2968.355
10.665,23.212,0.0,122.713,57.9,0.082,0.872,0.6,120.0,2798.119,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.2,0.082,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0.872,190.0,122.713,25.0,53.792,27.403,10.665,8.268,3.754,6.067,14.439,6.555,20.726,3.754,0.0,0.0,0.0,0.0,177,57.9,47.0,11,28.25,76.25,40.53,111,11,49.953,23.212,19.447,3.753,13.927,32.61,13.868,49.953,3.753,2798.119,2793.309,2776.332,2815.955,27.128,2851.528,2760.749
12.842,26.152,0.212,114.6,68.9,0.087,0.868,0.75,150.0,2565.363,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.25,0.087,150.0,150.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,0.868,177.75,114.6,19.75,51.055,26.107,12.842,12.033,2.913,7.127,18.913,6.952,26.107,2.913,0.25,0.212,0.0,0.089,171,68.9,58.0,17,39.75,93.75,40.416,171,17,48.42,26.152,25.356,3.477,19.286,38.543,14.026,48.42,3.477,2565.363,2566.888,2539.434,2584.416,43.263,2615.797,2474.671
13.621,24.182,0.0,105.038,82.45,0.083,0.835,0.9,180.0,2398.692,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.3,0.083,180.0,180.0,180.0,180.0,180.0,180.0,0.0,180.0,180.0,0.835,185.5,105.038,24.5,39.396,40.313,13.621,12.673,3.721,6.958,14.373,9.093,24.499,3.721,0.0,0.0,0.0,0.0,246,82.45,77.0,20,45.0,108.25,52.579,146,20,53.86,24.182,24.509,5.201,16.842,28.776,12.813,38.934,5.201,2398.692,2410.758,2368.89,2429.615,50.859,2481.414,2319.131
10.59,22.983,0.0,109.975,54.35,0.084,0.855,1.05,210.0,2207.448,1.05,1.05,1.05,1.05,1.05,1.05,0.0,1.05,1.05,0.35,0.084,210.0,210.0,210.0,210.0,210.0,210.0,0.0,210.0,210.0,0.855,193.5,109.975,11.5,64.66,23.063,10.59,8.997,2.879,5.296,16.18,6.182,23.063,2.879,0.0,0.0,0.0,0.0,146,54.35,45.0,2,29.0,70.75,38.276,132,2,46.249,22.983,26.883,2.234,7.299,31.993,14.232,46.249,2.234,2207.448,2197.922,2166.317,2231.587,47.05,2313.573,2154.026
8.447,20.271,0.0,114.075,45.55,0.087,0.864,1.2,240.0,2047.181,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,0.4,0.087,240.0,240.0,240.0,240.0,240.0,240.0,0.0,240.0,240.0,0.864,192.5,114.075,15.0,53.881,17.511,8.447,7.765,2.992,6.222,9.908,3.877,15.407,2.992,0.0,0.0,0.0,0.0,89,45.55,44.5,6,26.75,63.0,23.528,89,6,37.41,20.271,21.328,2.586,12.867,26.834,9.954,37.41,2.586,2047.181,2042.362,2020.577,2078.883,38.776,2125.957,1984.276
10.163,23.806,0.0,119.275,46.95,0.084,0.848,1.35,270.0,1903.461,1.35,1.35,1.35,1.35,1.35,1.35,0.0,1.35,1.35,0.45,0.084,270.0,270.0,270.0,270.0,270.0,270.0,0.0,270.0,270.0,0.848,184.5,119.275,17.5,58.989,41.141,10.163,8.72,2.605,4.729,11.704,8.361,19.788,2.605,0.0,0.0,0.0,0.0,202,46.95,36.0,5,22.0,49.5,43.802,65,5,51.666,23.806,24.561,2.646,14.898,31.891,14.417,51.666,2.646,1903.461,1901.131,1883.486,1932.912,43.09,1982.661,1836.574
7.835,18.576,0.2,106.313,43.5,0.084,0.851,1.5,300.0,1761.345,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.5,0.084,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,0.851,158.75,106.313,20.25,36.222,18.756,7.835,7.431,3.15,4.771,9.515,3.731,12.482,3.15,0.25,0.2,0.0,0.1,101,43.5,39.5,7,19.0,58.75,27.427,101,7,38.265,18.576,20.312,3.608,10.705,23.737,8.613,38.265,3.608,1761.345,1759.814,1733.534,1780.256,34.283,1825.365,1713.517
