f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,1.305,0.46,3.611,0.892,1.105,0.62,1.526,1.686,0.46,7.027,0.325,19.62,5.725,6.322,2.404,11.046,19.62,0.325,0.0,0.0,0.0,0.0,82.175,1.5,185.0,58.723,4.6,0,22,5.152,4.0,0.75,6.0,13,0,0.071,0.864,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,6000.0,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,39548.763,233.222,39561.253,39363.806,39724.714,39949.93,39093.496
0.1,0.36,0.307,0.817,0.121,0.324,0.316,0.329,0.335,0.307,0.998,0.268,9.674,2.269,0.279,0.274,0.282,0.293,0.268,0.0,0.0,0.0,0.0,15.875,1.0,193.0,46.561,0.1,0,1,0.3,0.0,0.0,0.0,0,0,0.054,0.827,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,12000.0,12000.0,12000.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,24669.039,218.892,24657.849,24581.771,24751.395,24919.097,24356.371
0.15,0.265,0.239,0.293,0.01,0.265,0.262,0.268,0.271,0.254,0.255,0.251,0.262,0.003,0.255,0.252,0.257,0.262,0.251,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.044,0.789,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,18000.0,18000.0,18000.0,0.0,18000.0,18000.0,18000.0,18000.0,18000.0,17372.692,164.588,17309.294,17263.165,17426.573,17573.891,17128.243
0.2,0.229,0.21,0.253,0.009,0.231,0.223,0.235,0.253,0.21,0.252,0.249,0.255,0.001,0.252,0.251,0.252,0.252,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.039,0.758,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,24000.0,24000.0,24000.0,0.0,24000.0,24000.0,24000.0,24000.0,24000.0,13115.367,91.566,13123.898,13032.696,13191.013,13274.605,12963.141
0.25,0.205,0.193,0.218,0.008,0.203,0.198,0.211,0.218,0.193,0.249,0.246,0.253,0.002,0.248,0.247,0.25,0.253,0.246,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.036,0.74,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,30000.0,30000.0,30000.0,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,10312.91,92.981,10305.108,10237.271,10392.766,10470.706,10130.665
0.3,0.183,0.173,0.202,0.008,0.182,0.178,0.188,0.202,0.173,0.243,0.24,0.248,0.002,0.243,0.242,0.245,0.248,0.24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.033,0.717,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,36000.0,36000.0,36000.0,0.0,36000.0,36000.0,36000.0,36000.0,36000.0,8463.661,49.261,8459.985,8437.466,8484.99,8530.987,8379.679
0.35,0.162,0.149,0.178,0.007,0.16,0.158,0.164,0.173,0.154,0.236,0.231,0.242,0.003,0.236,0.235,0.238,0.241,0.231,0.0,0.0,0.0,0.0,0.95,0.5,1.0,0.15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,0.692,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,42000.0,42000.0,42000.0,0.0,42000.0,42000.0,42000.0,42000.0,42000.0,7127.792,51.542,7135.108,7096.893,7166.391,7201.41,7046.723
0.4,0.137,0.119,0.15,0.007,0.136,0.135,0.14,0.146,0.126,0.225,0.216,0.23,0.004,0.225,0.224,0.228,0.23,0.219,0.0,0.0,0.0,0.0,0.9,0.5,1.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.029,0.669,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,48000.0,48000.0,48000.0,0.0,48000.0,48000.0,48000.0,48000.0,48000.0,6097.711,45.306,6102.62,6080.783,6124.61,6172.708,6036.573
0.45,0.113,0.101,0.128,0.007,0.114,0.11,0.118,0.128,0.101,0.211,0.201,0.221,0.005,0.212,0.207,0.214,0.221,0.201,0.0,0.0,0.0,0.0,0.775,0.5,1.0,0.249,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.027,0.64,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,54000.0,54000.0,54000.0,0.0,54000.0,54000.0,54000.0,54000.0,54000.0,5326.353,31.149,5325.381,5306.955,5342.224,5378.573,5281.843
0.5,0.098,0.082,0.114,0.008,0.098,0.093,0.103,0.114,0.082,0.2,0.185,0.213,0.007,0.2,0.196,0.203,0.213,0.189,0.0,0.0,0.0,0.0,0.725,0.5,1.0,0.249,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.025,0.61,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,60000.0,60000.0,60000.0,0.0,60000.0,60000.0,60000.0,60000.0,60000.0,4732.515,19.904,4739.965,4714.506,4744.07,4764.554,4697.269
0.55,0.081,0.072,0.092,0.006,0.079,0.076,0.085,0.092,0.072,0.184,0.176,0.195,0.006,0.182,0.179,0.188,0.195,0.176,0.0,0.0,0.0,0.0,0.525,0.5,1.0,0.109,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.023,0.577,16.5,16.5,16.5,0.0,16.5,16.5,16.5,16.5,16.5,66000.0,66000.0,66000.0,0.0,66000.0,66000.0,66000.0,66000.0,66000.0,4245.079,16.173,4244.34,4238.72,4250.3,4255.073,4228.005
0.6,0.064,0.054,0.085,0.006,0.064,0.06,0.066,0.067,0.054,0.166,0.156,0.187,0.006,0.167,0.163,0.169,0.17,0.156,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.022,0.54,18.0,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,72000.0,72000.0,72000.0,0.0,72000.0,72000.0,72000.0,72000.0,72000.0,3855.664,13.813,3853.928,3845.515,3863.879,3874.96,3831.247
0.65,0.054,0.034,0.063,0.007,0.053,0.049,0.059,0.063,0.045,0.154,0.126,0.166,0.009,0.154,0.149,0.161,0.166,0.144,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.02,0.502,19.5,19.5,19.5,0.0,19.5,19.5,19.5,19.5,19.5,78000.0,78000.0,78000.0,0.0,78000.0,78000.0,78000.0,78000.0,78000.0,3538.612,9.878,3541.017,3531.645,3543.323,3557.167,3520.297
0.7,0.044,0.033,0.054,0.007,0.045,0.038,0.049,0.054,0.033,0.141,0.124,0.156,0.01,0.143,0.132,0.149,0.156,0.124,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.019,0.463,21.0,21.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,84000.0,84000.0,84000.0,0.0,84000.0,84000.0,84000.0,84000.0,84000.0,3265.384,8.269,3267.472,3257.849,3271.104,3280.02,3252.902
0.75,0.036,0.024,0.048,0.007,0.034,0.032,0.04,0.048,0.024,0.128,0.107,0.147,0.011,0.126,0.122,0.135,0.147,0.107,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.017,0.424,22.5,22.5,22.5,0.0,22.5,22.5,22.5,22.5,22.5,90000.0,90000.0,90000.0,0.0,90000.0,90000.0,90000.0,90000.0,90000.0,3040.488,4.331,3039.887,3038.12,3042.036,3045.554,3034.357
0.8,0.03,0.02,0.047,0.006,0.03,0.027,0.032,0.034,0.023,0.119,0.098,0.146,0.01,0.119,0.114,0.122,0.132,0.104,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.016,0.386,24.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0,96000.0,96000.0,96000.0,0.0,96000.0,96000.0,96000.0,96000.0,96000.0,2843.52,5.13,2843.94,2840.862,2846.144,2853.323,2836.888
0.85,0.03,0.024,0.043,0.005,0.03,0.026,0.033,0.04,0.024,0.119,0.107,0.14,0.009,0.119,0.111,0.124,0.14,0.107,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.015,0.353,25.5,25.5,25.5,0.0,25.5,25.5,25.5,25.5,25.5,102000.0,102000.0,102000.0,0.0,102000.0,102000.0,102000.0,102000.0,102000.0,2671.947,3.012,2672.477,2669.931,2673.072,2676.756,2665.25
