f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,36.827,13.251,71.556,14.665,34.628,30.02,46.745,71.556,13.251,28.629,11.825,63.851,12.408,27.417,26.224,28.23,28.613,25.543,0.25,0.25,0.25,0.0,105.15,46.75,193.75,37.333,301.35,190,356,50.227,322.0,279.75,337.0,356,208,0.044,0.009,0.678,0.075,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.0,2.4,0.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,880.556,20.889,882.949,863.937,888.348,923.858,844.305,20.0,0.0,17379.4,16621,18268,430.71,17424.0,17032.5,17560.0,18268,16621,52.75,13,101,25.473,49.5,33.25,65.75,101,13,0.039,0.032,0.042,0.003,0.039,0.038,0.041,0.042,0.038
0.1,40.627,15.855,75.077,12.352,38.028,33.226,45.911,55.278,15.855,41.548,23.087,53.94,6.29,42.536,37.928,45.554,53.94,35.576,0.25,0.25,0.25,0.0,146.475,116.75,187.75,21.615,248.0,185,332,38.772,245.0,227.75,273.0,332,185,0.029,0.004,0.541,0.07,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,6.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,641.539,26.959,643.936,624.068,652.794,688.111,597.545,40.0,0.0,16075.55,15308,17232,524.445,16179.0,15678.75,16456.5,17232,15308,243.2,138,322,40.137,242.0,229.5,260.25,306,190,0.107,0.092,0.115,0.005,0.108,0.104,0.108,0.112,0.102
0.15,41.359,16.989,68.592,14.638,41.259,32.51,53.23,68.592,16.989,43.682,29.297,62.932,10.625,42.209,33.438,51.116,62.932,29.297,0.0,0.0,0.0,0.0,156.2,103.0,196.75,25.569,232.15,113,334,63.87,233.0,205.75,285.25,334,113,0.028,0.004,0.68,0.064,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,8.4,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,541.099,19.76,541.008,530.84,553.484,587.041,516.963,60.0,0.0,14402.95,13350,15135,471.292,14462.0,14005.75,14776.5,15135,13350,254.6,176,378,59.01,254.0,194.5,300.5,378,176,0.198,0.19,0.208,0.005,0.198,0.192,0.201,0.208,0.19
0.2,36.282,10.345,69.442,13.155,34.749,28.422,45.495,69.442,10.345,42.09,20.925,65.085,12.834,40.799,32.987,50.448,65.085,20.925,0.25,0.25,0.25,0.0,148.6,72.75,192.75,35.156,207.6,102,277,42.888,214.5,173.5,248.5,277,102,0.029,0.004,0.648,0.057,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,1.6,0.0,12.0,0.0,80.0,80.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,429.85,25.125,429.314,408.074,450.592,484.316,380.555,80.0,0.0,12728.8,12143,13652,316.69,12673.5,12520.5,12914.0,13131,12143,370.85,236,459,59.99,368.5,338.5,417.25,459,236,0.15,0.148,0.15,0.001,0.15,0.15,0.15,0.15,0.15
0.25,38.511,6.752,74.982,15.429,40.698,26.763,47.784,74.982,6.752,41.034,14.887,60.26,10.656,43.059,34.456,46.473,60.26,28.763,0.05,0.0,0.25,0.1,153.062,107.75,191.25,23.938,221.35,50,339,65.655,240.5,165.25,255.0,339,50,0.028,0.004,0.625,0.062,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,14.4,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,379.855,20.991,379.096,363.708,392.904,424.324,336.296,100.0,0.0,12121.75,11169,13243,485.449,12076.0,11899.25,12456.75,13243,11169,494.85,290,596,74.444,521.0,473.5,544.25,596,409,0.374,0.358,0.388,0.006,0.374,0.37,0.376,0.382,0.365
0.3,36.235,13.059,65.908,12.906,34.602,28.133,40.009,57.235,13.059,43.928,24.068,67.416,9.08,40.942,38.79,49.177,55.259,24.068,0.012,0.0,0.25,0.054,163.362,125.5,192.5,22.454,196.6,107,346,58.781,189.5,161.75,230.25,275,107,0.029,0.005,0.594,0.07,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,18.0,0.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,333.318,25.955,330.594,316.006,344.542,384.838,294.019,120.0,0.0,10383.55,9759,11669,415.124,10382.5,10054.75,10592.75,10868,9759,650.9,456,862,124.222,632.0,572.5,738.5,862,456,0.431,0.415,0.44,0.009,0.432,0.425,0.44,0.44,0.415
0.35,30.82,12.987,51.216,12.569,28.146,20.605,40.363,51.216,12.987,41.118,22.846,61.39,10.111,40.167,34.851,48.38,61.39,22.846,0.013,0.0,0.25,0.054,160.2,114.75,192.5,22.776,176.85,91,296,63.281,159.0,125.5,225.5,296,91,0.032,0.005,0.616,0.06,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,20.4,0.0,140.0,140.0,140.0,0.0,140.0,140.0,140.0,140.0,140.0,293.583,15.639,291.735,282.619,297.214,308.534,268.077,140.0,0.0,9596.25,8598,10288,463.665,9704.5,9274.0,9970.75,10288,8598,700.7,441,921,110.097,712.0,633.0,756.75,921,543,0.415,0.405,0.428,0.007,0.412,0.409,0.42,0.428,0.405
0.4,34.586,15.108,75.467,13.937,31.72,25.914,39.464,59.229,15.108,42.79,29.332,55.496,6.946,43.106,36.768,47.029,55.496,29.332,0.227,0.0,0.25,0.064,159.175,125.25,193.25,18.837,188.7,74,343,63.94,177.0,151.25,207.0,290,74,0.034,0.006,0.565,0.062,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.2,0.0,24.0,0.0,160.0,160.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0,251.772,12.713,250.347,243.162,258.283,268.222,227.708,160.0,0.0,8083.4,7408,8989,477.325,8058.5,7674.5,8460.0,8989,7408,912.0,677,1169,132.219,885.0,828.75,1023.75,1169,677,0.298,0.295,0.3,0.002,0.298,0.298,0.3,0.3,0.295
0.45,32.062,16.144,56.851,10.914,29.467,24.984,40.1,56.851,16.144,41.996,30.653,56.945,6.318,42.063,37.912,46.487,56.945,30.653,0.0,0.0,0.0,0.0,157.028,128.25,188.5,18.121,181.95,88,301,59.351,181.0,132.25,224.5,301,88,0.035,0.005,0.59,0.047,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,3.6,0.0,26.4,0.0,180.0,180.0,180.0,0.0,180.0,180.0,180.0,180.0,180.0,237.235,10.012,234.916,230.095,245.262,256.4,222.145,180.0,0.0,7461.15,6659,8215,421.028,7523.0,7170.75,7762.25,8215,6659,1030.9,812,1253,113.948,1033.0,949.5,1092.25,1253,812,0.61,0.585,0.632,0.013,0.61,0.599,0.618,0.632,0.585
0.5,31.436,11.518,58.885,11.841,28.038,23.441,38.99,58.885,11.518,43.499,24.315,63.296,9.573,42.762,36.651,47.989,63.296,24.315,0.0,0.0,0.0,0.0,161.288,115.5,197.25,20.352,162.75,75,350,66.175,140.0,119.0,194.5,302,75,0.035,0.005,0.55,0.068,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,30.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,209.868,11.855,210.852,202.133,217.645,232.151,189.758,200.0,0.0,6300.9,5140,7228,485.916,6376.5,6006.5,6585.25,7228,5140,1197.75,966,1861,190.105,1183.0,1073.75,1272.25,1349,966,0.568,0.552,0.59,0.011,0.568,0.56,0.576,0.59,0.552
