f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,0.077,0.059,0.098,0.011,0.077,0.068,0.083,0.098,0.059,0.267,0.242,0.292,0.012,0.268,0.261,0.274,0.292,0.242,0.0,0.0,0.0,0.0,2.95,2.5,3.0,0.15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.03,1.0,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,577.8,0.006,577.801,577.796,577.804,577.809,577.785
0.1,0.105,0.086,0.13,0.011,0.104,0.098,0.111,0.13,0.086,0.293,0.282,0.304,0.005,0.293,0.291,0.297,0.304,0.287,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.03,1.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,3200.0,3200.0,3200.0,0.0,3200.0,3200.0,3200.0,3200.0,3200.0,1154.498,0.01,1154.5,1154.49,1154.506,1154.513,1154.479
0.15,0.09,0.08,0.106,0.006,0.09,0.087,0.093,0.096,0.08,0.285,0.279,0.293,0.003,0.285,0.283,0.286,0.288,0.279,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,4800.0,4800.0,4800.0,0.0,4800.0,4800.0,4800.0,4800.0,4800.0,1730.966,0.005,1730.966,1730.963,1730.969,1730.973,1730.956
0.2,0.094,0.083,0.111,0.007,0.092,0.088,0.1,0.111,0.083,0.288,0.281,0.296,0.004,0.287,0.285,0.29,0.296,0.281,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,6400.0,6400.0,6400.0,0.0,6400.0,6400.0,6400.0,6400.0,6400.0,2307.498,0.008,2307.498,2307.493,2307.504,2307.514,2307.479
0.25,0.095,0.083,0.112,0.007,0.095,0.09,0.1,0.112,0.083,0.288,0.281,0.296,0.004,0.288,0.285,0.291,0.296,0.281,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,8000.0,8000.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,2884.041,0.008,2884.042,2884.034,2884.047,2884.058,2884.026
0.3,0.098,0.088,0.109,0.007,0.096,0.092,0.103,0.109,0.088,0.289,0.284,0.294,0.003,0.288,0.286,0.292,0.294,0.284,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,9600.0,9600.0,9600.0,3460.573,0.007,3460.57,3460.568,3460.58,3460.585,3460.563
0.35,0.099,0.087,0.109,0.005,0.099,0.096,0.104,0.109,0.087,0.29,0.283,0.294,0.003,0.29,0.288,0.293,0.294,0.283,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,0.999,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,11200.0,11200.0,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,4037.113,0.007,4037.113,4037.109,4037.118,4037.127,4037.103
0.4,0.1,0.086,0.121,0.008,0.1,0.095,0.105,0.11,0.086,0.29,0.282,0.3,0.004,0.29,0.288,0.293,0.3,0.282,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,0.999,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,12800.0,12800.0,12800.0,0.0,12800.0,12800.0,12800.0,12800.0,12800.0,4613.64,0.007,4613.639,4613.636,4613.644,4613.65,4613.627
0.45,0.103,0.083,0.119,0.009,0.105,0.098,0.107,0.119,0.093,0.292,0.282,0.299,0.004,0.293,0.289,0.294,0.299,0.283,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,0.999,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,14400.0,14400.0,14400.0,0.0,14400.0,14400.0,14400.0,14400.0,14400.0,5190.174,0.007,5190.173,5190.169,5190.18,5190.188,5190.162
0.5,0.105,0.093,0.117,0.007,0.106,0.1,0.109,0.117,0.093,0.293,0.287,0.299,0.003,0.293,0.29,0.294,0.299,0.287,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,0.999,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,16000.0,16000.0,16000.0,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,5766.718,0.011,5766.719,5766.709,5766.728,5766.737,5766.698
