pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
1.107,0.856,0.0,4.25,0.032,1.0,2.4,18.0,120.0
1.176,0.962,0.0,5.5,0.033,1.0,2.4,18.0,120.0
1.145,0.864,0.0,4.75,0.032,1.0,2.4,18.0,120.0
1.184,0.996,0.0,6.25,0.031,1.0,2.4,18.0,120.0
1.068,0.798,0.0,4.25,0.032,1.0,2.4,18.0,120.0
1.102,0.816,0.0,4.25,0.03,1.0,2.4,18.0,120.0
1.176,0.93,0.0,5.5,0.031,1.0,2.4,18.0,120.0
1.124,0.899,0.0,6.0,0.03,1.0,2.4,18.0,120.0
1.123,0.858,0.0,4.75,0.031,1.0,2.4,18.0,120.0
1.079,0.799,0.0,4.75,0.032,1.0,2.4,18.0,120.0
1.162,0.912,0.0,4.75,0.031,1.0,2.4,18.0,120.0
1.168,0.872,0.0,4.25,0.032,1.0,2.4,18.0,120.0
1.248,1.041,0.0,6.75,0.031,1.0,2.4,18.0,120.0
1.128,0.909,0.0,7.25,0.03,1.0,2.4,18.0,120.0
1.18,0.887,0.0,4.75,0.03,1.0,2.4,18.0,120.0
1.15,0.876,0.0,4.75,0.031,1.0,2.4,18.0,120.0
1.142,0.897,0.0,4.5,0.032,1.0,2.4,18.0,120.0
1.196,0.932,0.0,4.75,0.032,1.0,2.4,18.0,120.0
1.056,0.761,0.0,3.5,0.03,1.0,2.4,18.0,120.0
1.293,1.168,0.0,10.0,0.031,1.0,2.4,18.0,120.0
