pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
22.367,31.557,0.0,138.0,0.027,0.683,2.4,2.4,18.0,120.0,120.0,12407,467,0.427,333.449
29.91,44.199,0.0,169.25,0.025,0.7,2.4,2.4,18.0,120.0,120.0,11719,364,0.44,362.569
35.329,48.081,0.0,149.5,0.026,0.725,2.4,2.4,18.0,120.0,120.0,12791,423,0.432,311.413
22.245,31.404,0.0,139.5,0.023,0.642,2.4,2.4,18.0,120.0,120.0,11916,448,0.425,367.901
11.137,25.634,0.0,161.0,0.028,0.733,2.4,2.4,18.0,120.0,120.0,12470,327,0.438,338.514
29.482,40.292,0.0,182.75,0.024,0.65,2.4,2.4,18.0,120.0,120.0,12209,469,0.44,366.914
22.436,36.754,0.0,142.5,0.029,0.742,2.4,2.4,18.0,120.0,120.0,13006,356,0.43,313.339
34.565,38.39,0.0,118.0,0.024,0.683,2.4,2.4,18.0,120.0,120.0,11902,469,0.453,328.926
32.507,37.447,0.0,128.5,0.027,0.7,2.4,2.4,18.0,120.0,120.0,12331,416,0.43,330.371
27.096,51.3,0.0,187.5,0.028,0.717,2.4,2.4,18.0,120.0,120.0,12872,370,0.432,319.248
35.734,33.997,0.0,119.5,0.023,0.625,2.4,2.4,18.0,120.0,120.0,12099,507,0.425,351.576
29.642,43.156,0.0,154.0,0.023,0.625,2.4,2.4,18.0,120.0,120.0,12383,591,0.44,357.701
74.002,60.826,0.0,186.0,0.025,0.683,2.4,2.4,18.0,120.0,120.0,11905,463,0.435,347.746
26.911,33.852,0.0,156.0,0.023,0.658,2.4,2.4,18.0,120.0,120.0,12018,543,0.425,331.412
23.744,35.455,0.0,125.5,0.021,0.617,2.4,2.4,18.0,120.0,120.0,12367,601,0.44,347.959
29.824,39.025,0.0,122.0,0.026,0.725,2.4,2.4,18.0,120.0,120.0,11749,459,0.43,331.718
12.867,23.878,0.0,98.5,0.024,0.7,2.4,2.4,18.0,120.0,120.0,11341,366,0.438,302.306
45.417,56.05,0.0,165.5,0.023,0.683,2.4,2.4,18.0,120.0,120.0,11884,437,0.425,331.289
14.781,26.868,0.0,165.5,0.028,0.758,2.4,2.4,18.0,120.0,120.0,12483,347,0.42,319.358
22.622,38.869,0.0,125.0,0.026,0.683,2.4,2.4,18.0,120.0,120.0,12360,404,0.432,340.917
