pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
21.058,37.784,0.0,183.0,0.032,0.803,12.0,12.0,24.0,600.0,600.0,9148,318,0.985,180.826
17.52,36.509,0.0,171.5,0.03,0.81,12.0,12.0,24.0,600.0,600.0,9672,322,0.985,179.393
24.962,39.034,0.0,154.5,0.031,0.808,12.0,12.0,24.0,600.0,600.0,9404,332,0.978,182.889
25.234,39.755,0.0,185.0,0.029,0.718,12.0,12.0,24.0,600.0,600.0,9851,494,0.983,193.805
13.479,29.647,0.0,146.5,0.035,0.822,12.0,12.0,24.0,600.0,600.0,10056,261,0.985,174.864
5.35,17.253,0.0,115.5,0.037,0.868,12.0,12.0,24.0,600.0,600.0,10143,245,0.983,170.99
7.55,27.355,0.0,178.0,0.036,0.852,12.0,12.0,24.0,600.0,600.0,9963,238,0.985,166.82
8.383,26.135,0.0,171.0,0.034,0.823,12.0,12.0,24.0,600.0,600.0,9799,213,0.98,173.204
15.274,31.337,0.0,185.5,0.035,0.832,12.0,12.0,24.0,600.0,600.0,9837,304,0.978,180.842
13.335,29.185,0.0,127.5,0.035,0.812,12.0,12.0,24.0,600.0,600.0,10562,332,0.978,171.451
20.652,42.194,0.0,173.0,0.036,0.798,12.0,12.0,24.0,600.0,600.0,10158,334,0.98,171.3
13.262,26.869,0.0,113.5,0.035,0.817,12.0,12.0,24.0,600.0,600.0,10249,304,0.973,177.959
9.019,25.494,0.0,144.5,0.033,0.818,12.0,12.0,24.0,600.0,600.0,10220,366,0.98,179.265
13.517,33.837,0.0,188.0,0.033,0.832,12.0,12.0,24.0,600.0,600.0,9857,278,0.983,176.119
16.023,34.179,0.0,159.5,0.035,0.842,12.0,12.0,24.0,600.0,600.0,9872,221,0.985,175.163
21.818,40.768,0.0,174.0,0.03,0.79,12.0,12.0,24.0,600.0,600.0,10022,443,0.988,182.223
17.58,35.27,0.0,169.5,0.031,0.792,12.0,12.0,24.0,600.0,600.0,10016,372,0.985,174.926
18.131,39.913,0.0,168.0,0.033,0.813,12.0,12.0,24.0,600.0,600.0,9982,279,0.988,176.258
18.189,40.438,0.0,176.75,0.032,0.762,12.0,12.0,24.0,600.0,600.0,9355,366,0.968,180.129
23.559,43.952,0.0,180.5,0.032,0.788,12.0,12.0,24.0,600.0,600.0,9858,318,0.99,187.233
