pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,ignored_field_connections_ratio_mean,ignored_field_connections_ratio_median,ignored_field_connections_ratio_q1,ignored_field_connections_ratio_q3,ignored_field_connections_ratio_std,ignored_field_connections_ratio_whishi,ignored_field_connections_ratio_whislo,max_field_sizes,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_fields_active_mean,num_fields_active_std,num_fields_total_mean,num_fields_total_std,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,pos_error_max_mean,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_mean,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
11.282,20.071,0.0,104.335,0.022,0.887,0.0,1.335,1.335,0.848,66.75,66.75,18765.75,0.05,0.154,2.127,1,0.05,0.0,0,0.0,0.0,0.218,0,0,19230,18765.75,18792.0,18343,18597.75,18898.25,230.006,19230,18343,0.848,0.016,1.335,0.072,1.335,0.072,0.0,0.0,0.0,0.0,0.0,0,0,1,0.023,0.022,0.022,0.022,0.022,0.023,0.0,0.023,0.022,66.75,3.576,66.75,3.576,0.934,0.887,0.887,0.851,0.873,0.896,0.02,0.923,0.851,0.162,0.154,0.156,0.14,0.148,0.16,0.007,0.162,0.14,104.335,15.748,11.282,11.374,5.848,9.508,12.997,2.576,15.748,5.848,0.0,31.787,20.071,19.229,11.442,17.036,23.544,4.864,31.787,11.442,2.127,2.13,2.112,2.16,0.045,2.195,2.042
13.81,24.784,0.0,140.383,0.024,0.922,0.0,1.763,1.763,1.849,88.15,88.15,19537.05,0.0,0.209,4.627,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19723,19537.05,19585.5,19260,19464.25,19640.0,132.956,19723,19260,1.849,0.017,1.763,0.096,1.763,0.096,0.0,0.0,0.0,0.0,0.0,0,0,2,0.025,0.024,0.024,0.023,0.024,0.025,0.001,0.025,0.023,88.15,4.778,88.15,4.778,0.965,0.922,0.92,0.867,0.91,0.942,0.028,0.965,0.867,0.232,0.209,0.211,0.19,0.198,0.218,0.012,0.232,0.19,140.383,18.833,13.81,13.816,9.203,11.503,15.574,2.602,18.833,9.203,0.0,31.935,24.784,25.074,16.405,22.39,26.629,3.878,31.935,16.405,4.627,4.621,4.591,4.662,0.046,4.706,4.548
12.931,26.957,0.0,140.684,0.025,0.931,0.0,2.082,2.082,2.851,104.1,104.1,19544.9,0.0,0.268,7.126,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19606,19544.9,19560.5,19395,19529.0,19586.5,58.739,19606,19489,2.851,0.015,2.082,0.09,2.082,0.09,0.0,0.0,0.0,0.0,0.0,0,0,3,0.026,0.025,0.025,0.024,0.025,0.025,0.0,0.026,0.024,104.1,4.516,104.1,4.516,0.98,0.931,0.935,0.88,0.918,0.944,0.025,0.98,0.88,0.295,0.268,0.268,0.248,0.256,0.278,0.014,0.295,0.248,140.684,22.591,12.931,12.338,7.493,10.84,14.033,3.125,17.352,7.493,0.0,45.007,26.957,26.661,18.436,22.701,28.56,6.394,34.931,18.436,7.126,7.128,7.09,7.158,0.047,7.205,7.037
11.724,27.743,0.0,159.588,0.026,0.937,0.0,2.272,2.272,3.854,113.6,113.6,19443.05,0.0,0.31,9.621,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19500,19443.05,19460.0,19297,19422.75,19488.75,59.375,19500,19332,3.854,0.017,2.272,0.12,2.272,0.12,0.0,0.0,0.0,0.0,0.0,0,0,4,0.027,0.026,0.026,0.025,0.025,0.026,0.0,0.027,0.025,113.6,6.02,113.6,6.02,0.973,0.937,0.939,0.896,0.914,0.963,0.027,0.973,0.896,0.332,0.31,0.311,0.282,0.302,0.318,0.014,0.332,0.282,159.588,15.491,11.724,11.716,5.788,9.677,14.968,2.995,15.491,5.788,0.0,38.059,27.743,28.274,14.095,23.951,31.166,5.85,38.059,14.095,9.621,9.616,9.606,9.64,0.044,9.674,9.561
9.768,24.941,0.0,142.488,0.026,0.943,0.0,2.585,2.585,4.847,129.25,129.25,19344.0,0.05,0.369,12.103,1,0.05,0.0,0,0.0,0.0,0.218,0,0,19387,19344.0,19349.5,19192,19338.5,19372.0,43.837,19387,19330,4.847,0.019,2.585,0.148,2.585,0.148,0.0,0.0,0.0,0.0,0.0,0,0,5,0.027,0.026,0.026,0.025,0.025,0.026,0.0,0.027,0.025,129.25,7.395,129.25,7.395,0.978,0.943,0.945,0.906,0.927,0.957,0.021,0.978,0.906,0.392,0.369,0.371,0.335,0.362,0.378,0.015,0.392,0.35,142.488,19.464,9.768,8.836,2.532,7.265,11.454,4.11,17.039,2.532,0.0,48.832,24.941,24.366,8.329,20.371,28.132,8.226,34.549,16.093,12.103,12.099,12.063,12.152,0.052,12.187,12.009
6.84,20.429,0.0,140.8,0.026,0.949,0.0,2.676,2.676,5.846,133.8,133.8,19246.0,0.0,0.399,14.59,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19286,19246.0,19267.0,19153,19224.75,19273.0,40.637,19286,19153,5.846,0.016,2.676,0.072,2.676,0.072,0.0,0.0,0.0,0.0,0.0,0,0,6,0.027,0.026,0.026,0.026,0.026,0.027,0.0,0.027,0.026,133.8,3.614,133.8,3.614,0.97,0.949,0.948,0.924,0.941,0.957,0.012,0.97,0.924,0.43,0.399,0.4,0.365,0.396,0.406,0.014,0.418,0.388,140.8,15.391,6.84,5.804,3.032,4.912,7.725,3.096,10.614,3.032,0.0,37.231,20.429,20.341,9.531,15.496,23.831,7.047,34.82,9.531,14.59,14.594,14.55,14.615,0.053,14.696,14.499
6.215,19.749,0.0,137.475,0.026,0.958,0.0,2.876,2.876,6.841,143.8,143.8,19155.95,0.0,0.433,17.057,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19194,19155.95,19160.5,19107,19149.0,19169.5,23.821,19194,19134,6.841,0.019,2.876,0.153,2.876,0.153,0.0,0.0,0.0,0.0,0.0,0,0,7,0.028,0.026,0.027,0.026,0.026,0.027,0.0,0.027,0.026,143.8,7.646,143.8,7.646,0.978,0.958,0.966,0.91,0.948,0.97,0.018,0.978,0.932,0.47,0.433,0.435,0.402,0.423,0.441,0.016,0.455,0.402,137.475,11.174,6.215,5.755,3.169,4.962,7.072,2.192,9.156,3.169,0.0,33.737,19.749,18.125,10.454,16.127,22.869,5.7,28.533,10.454,17.057,17.051,17.019,17.1,0.059,17.153,16.922
6.105,19.297,0.0,138.812,0.027,0.958,0.0,3.05,3.05,7.847,152.5,152.5,19055.25,0.0,0.466,19.561,0,0.0,0.0,0,0.0,0.0,0.0,0,0,19074,19055.25,19057.5,19013,19052.75,19063.25,15.427,19074,19050,7.847,0.016,3.05,0.118,3.05,0.118,0.0,0.0,0.0,0.0,0.0,0,0,8,0.027,0.027,0.027,0.026,0.026,0.027,0.0,0.027,0.026,152.5,5.903,152.5,5.903,0.981,0.958,0.96,0.921,0.95,0.967,0.013,0.981,0.94,0.522,0.466,0.465,0.42,0.453,0.479,0.023,0.492,0.42,138.812,11.787,6.105,5.554,3.1,4.477,7.419,2.29,11.787,3.1,0.0,31.993,19.297,19.164,9.942,14.974,23.156,5.715,31.993,9.942,19.561,19.56,19.538,19.587,0.047,19.638,19.484
4.377,15.782,0.0,140.65,0.027,0.957,0.0,3.284,3.284,8.849,164.2,164.2,18941.95,0.0,0.504,22.052,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18971,18941.95,18949.0,18886,18935.75,18953.0,22.52,18971,18917,8.849,0.014,3.284,0.167,3.284,0.167,0.0,0.0,0.0,0.0,0.0,0,0,9,0.028,0.027,0.027,0.026,0.026,0.027,0.0,0.028,0.026,164.2,8.328,164.2,8.328,0.994,0.957,0.956,0.931,0.947,0.964,0.014,0.972,0.931,0.56,0.504,0.505,0.435,0.492,0.514,0.025,0.54,0.475,140.65,8.31,4.377,4.013,1.706,3.215,5.117,1.853,7.289,1.706,0.0,30.054,15.782,14.86,3.22,10.681,18.487,6.577,30.054,3.22,22.052,22.06,22.026,22.106,0.067,22.139,21.943
4.067,13.947,0.0,115.871,0.027,0.957,0.0,3.498,3.498,9.846,174.9,174.9,18823.55,0.0,0.544,24.513,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18850,18823.55,18832.0,18776,18811.75,18840.25,20.829,18850,18776,9.846,0.012,3.498,0.143,3.498,0.143,0.0,0.0,0.0,0.0,0.0,0,0,10,0.027,0.027,0.027,0.026,0.027,0.027,0.0,0.027,0.026,174.9,7.127,174.9,7.127,0.988,0.957,0.954,0.936,0.949,0.964,0.014,0.983,0.936,0.59,0.544,0.54,0.498,0.531,0.56,0.023,0.59,0.498,115.871,10.378,4.067,3.325,1.701,2.421,5.932,2.138,10.378,1.701,0.0,28.316,13.947,12.275,2.848,8.956,19.468,6.905,28.316,2.848,24.513,24.525,24.47,24.564,0.083,24.667,24.383
