pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
1.478,6.289,0.0,73.5,0.027,0.984,7.32,29.84,366
1.162,4.365,0.0,85.75,0.027,0.969,7.1,29.861,355
1.02,1.016,0.0,5.5,0.028,0.98,7.06,29.805,353
1.081,2.338,0.0,43.5,0.028,0.986,6.94,29.822,347
1.103,1.442,0.0,20.0,0.027,0.986,7.0,29.859,350
1.318,2.406,0.0,26.0,0.028,0.965,6.94,29.832,347
1.36,5.314,0.0,104.25,0.028,0.986,7.24,29.831,362
1.483,6.399,0.0,125.5,0.027,0.991,6.92,29.811,346
1.211,1.273,0.0,8.5,0.027,0.983,7.02,29.844,351
1.177,1.248,0.0,7.5,0.028,0.977,6.96,29.838,348
3.141,13.423,0.0,141.0,0.028,0.986,6.98,29.831,349
2.989,17.702,0.0,178.5,0.027,0.968,7.42,29.846,371
0.937,1.124,0.0,7.5,0.028,0.986,7.28,29.824,364
1.362,6.119,0.0,121.5,0.027,0.978,7.16,29.843,358
1.467,4.73,0.0,78.5,0.028,0.977,7.04,29.875,352
3.007,15.348,0.0,128.0,0.028,0.989,7.3,29.864,365
0.945,0.951,0.0,5.5,0.027,0.987,7.46,29.87,373
0.866,0.808,0.0,4.0,0.027,0.984,7.34,29.846,367
1.506,6.571,0.0,76.5,0.027,0.976,7.58,29.849,379
1.115,4.076,0.0,80.0,0.027,0.981,7.18,29.852,359
