pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
49.714,28.503,0.247,104.542,0.001,0.021,0.771,114.18,114.18,35.951,5709,5709,263,7938,1.0,2.689
47.554,27.752,0.108,110.861,0.001,0.025,0.772,114.1,114.1,35.955,5705,5705,149,7960,1.0,2.89
49.638,28.654,0.149,98.851,0.001,0.021,0.767,113.84,113.84,35.954,5692,5692,161,7947,1.0,2.7
48.2,28.328,0.006,101.494,0.001,0.023,0.771,113.62,113.62,35.944,5681,5681,125,7931,1.0,3.087
49.246,28.775,1.17,101.17,0.001,0.022,0.768,114.36,114.36,35.951,5718,5718,161,8037,1.0,2.774
49.296,28.71,0.051,99.566,0.001,0.021,0.769,114.14,114.14,35.957,5707,5707,168,7965,1.0,2.654
49.951,28.059,2.771,107.229,0.001,0.023,0.773,114.34,114.34,35.963,5717,5717,158,7990,1.0,2.874
48.685,27.792,0.677,103.276,0.001,0.025,0.77,113.64,113.64,35.957,5682,5682,145,7916,1.0,2.95
49.812,28.352,0.128,97.935,0.001,0.024,0.772,113.32,113.32,35.954,5666,5666,145,7934,1.0,3.071
48.729,28.495,0.061,101.88,0.001,0.023,0.772,113.58,113.58,35.956,5679,5679,164,7978,1.0,2.827
49.207,28.954,0.088,103.221,0.001,0.025,0.765,114.14,114.14,35.955,5707,5707,154,7970,1.0,2.897
49.061,28.052,0.106,104.897,0.001,0.026,0.773,113.62,113.62,35.959,5681,5681,126,7839,1.0,3.344
49.199,29.387,0.23,107.744,0.001,0.022,0.772,113.48,113.48,35.959,5674,5674,162,7933,1.0,2.747
49.417,28.774,0.213,107.721,0.001,0.021,0.77,114.22,114.22,35.952,5711,5711,271,7960,1.0,2.835
47.678,27.776,0.074,98.398,0.001,0.023,0.769,114.14,114.14,35.963,5707,5707,160,7981,1.0,2.801
49.449,28.46,0.611,99.814,0.001,0.023,0.768,113.3,113.3,35.955,5665,5665,166,7958,1.0,2.75
49.236,28.361,0.032,103.082,0.001,0.023,0.771,114.32,114.32,35.954,5716,5716,159,7913,1.0,2.836
49.976,29.184,0.152,112.348,0.001,0.022,0.77,113.5,113.5,35.963,5675,5675,278,7895,1.0,2.915
46.656,29.473,0.003,106.819,0.001,0.025,0.765,114.08,114.08,35.946,5704,5704,159,7975,1.0,2.766
48.923,28.157,0.837,98.407,0.001,0.025,0.766,113.92,113.92,35.962,5696,5696,159,7892,1.0,3.021
