experiment_id,experiment_num,network_type,time_finished,description,I,Iloc,J0,J1,T,allow_field_overlap,alpha,dead_neuron_ids,disc_step,dt,env_length,expected_mean_field_activity,field_ratio_threshold,field_size_distribution,gen_fields_at_bin_locs,init_value,max_field_sizes,max_num_tries,mean_field_activity_remove_background,num_neurons,prob_dead_neurons,random_seed,s,scaling_factor,tau,theta,vel,avg_accum_field_coverage_per_neuron_max,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_min,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_eval_iters,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,pos_error_max_max,pos_error_max_mean,pos_error_max_median,pos_error_max_min,pos_error_max_q1,pos_error_max_q3,pos_error_max_std,pos_error_max_whishi,pos_error_max_whislo,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_median,pos_error_min_min,pos_error_min_q1,pos_error_min_q3,pos_error_min_std,pos_error_min_whishi,pos_error_min_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,random_seed_type,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,ignored_field_connections_ratio_mean,ignored_field_connections_ratio_median,ignored_field_connections_ratio_q1,ignored_field_connections_ratio_q3,ignored_field_connections_ratio_std,ignored_field_connections_ratio_whishi,ignored_field_connections_ratio_whislo,num_fields_active_mean,num_fields_active_std,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo,pos_input_suppression_end,pos_input_suppression_start,label,field_connection_prob
single,1,MSMFSingleCAN,17.10.22 - 15:47,Single experiment,0.1,0.05,-0.15,0.7,20.0,False,3.16,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,30.0,1000,True,50,0.0,time,400,0.3,0.01,1.8,20.0,29.875,29.842,29.843,29.805,29.831,29.854,0.018,29.875,29.805,7.58,7.162,7.13,6.92,6.995,7.305,0.191,7.58,6.92,0.018,0.013,0.013,0.009,0.011,0.015,0.002,0.018,0.009,20,379,358.1,356.5,346,349.75,365.25,9.57,379,346,0.571,0.387,0.374,0.234,0.34,0.44,0.079,0.571,0.234,187.75,161.212,164.125,105.25,149.75,176.625,19.729,187.75,132.0,57.642,39.34,36.763,24.799,31.557,48.433,10.419,57.642,24.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.813,45.836,45.499,32.535,40.116,50.745,7.561,64.813,32.535,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,2,MSMFSingleCAN,17.10.22 - 15:47,Single experiment,0.1,0.05,0.0,0.0,20.0,False,3.16,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,30.0,1000,True,50,0.0,time,400,0.3,0.01,1.8,20.0,29.875,29.842,29.843,29.805,29.831,29.854,0.018,29.875,29.805,7.58,7.162,7.13,6.92,6.995,7.305,0.191,7.58,6.92,0.028,0.027,0.028,0.027,0.027,0.028,0.0,0.028,0.027,20,379,358.1,356.5,346,349.75,365.25,9.57,379,346,0.989,0.981,0.982,0.965,0.977,0.986,0.007,0.989,0.965,189.0,161.788,166.5,106.5,146.125,183.625,23.517,189.0,106.5,90.182,64.378,63.845,39.85,56.759,72.89,12.914,90.182,39.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.85,48.812,49.634,30.286,42.451,56.742,8.994,60.85,30.286,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,3,MSMFSingleCAN,17.10.22 - 15:47,Single experiment,0.0,0.05,-0.15,0.7,20.0,False,3.16,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,30.0,1000,True,50,0.0,time,400,0.3,0.01,1.8,20.0,29.875,29.842,29.843,29.805,29.831,29.854,0.018,29.875,29.805,7.58,7.162,7.13,6.92,6.995,7.305,0.191,7.58,6.92,0.01,0.01,0.01,0.009,0.009,0.01,0.001,0.01,0.009,20,379,358.1,356.5,346,349.75,365.25,9.57,379,346,0.251,0.204,0.206,0.161,0.184,0.219,0.023,0.251,0.161,192.5,104.677,106.729,17.9,80.469,138.188,46.52,192.5,17.9,3.703,2.037,1.965,0.858,1.122,2.876,0.917,3.703,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.553,9.398,8.606,1.617,5.364,13.819,4.714,17.553,1.617,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,4,MSMFSingleCAN,17.10.22 - 15:47,Single experiment,0.0,0.05,0.0,0.0,20.0,False,3.16,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,30.0,1000,True,50,0.0,time,400,0.3,0.01,1.8,20.0,29.875,29.842,29.843,29.805,29.831,29.854,0.018,29.875,29.805,7.58,7.162,7.13,6.92,6.995,7.305,0.191,7.58,6.92,0.028,0.027,0.027,0.027,0.027,0.028,0.0,0.028,0.027,20,379,358.1,356.5,346,349.75,365.25,9.57,379,346,0.991,0.981,0.983,0.965,0.977,0.986,0.007,0.991,0.965,178.5,66.05,75.0,4.0,8.25,108.563,53.224,178.5,4.0,3.141,1.486,1.265,0.866,1.098,1.479,0.682,1.506,0.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.702,5.147,4.221,0.808,1.267,6.317,4.832,13.423,0.808,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,5,MSMFSingleCAN,10.11.22 - 11:57,Baseline for opt without lateral connections and noise,0.1,0.05,-0.15,0.7,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668077615035034034,400,0.3,0.01,0.02,20.0,None,35.956,None,None,None,None,0.005,None,None,None,113.892,None,None,None,None,0.344,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,None,5694.6,None,None,None,None,17.212,None,None,0.016,0.014,0.014,0.013,0.013,0.015,0.001,0.016,0.013,None,102.629,None,None,None,None,None,None,None,49.998,49.613,49.569,49.5,49.517,49.653,0.134,49.76,49.5,None,0.121,None,None,None,None,None,None,None,29.424,28.773,28.699,28.579,28.608,28.842,0.228,29.024,28.579,time,8114,8033.35,8035.5,7968,8013.5,8056.25,33.821,8114,7968,248,237.6,238.0,228,234.0,242.0,5.398,248,228,113.892,0.344,0.77,0.77,0.768,0.772,0.002,0.773,0.765,5694.6,17.212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,21.789,21.784,21.767,21.816,0.025,21.837,21.756,None,None,None,None
single,6,MSMFSingleCAN,10.11.22 - 11:57,Baseline for opt without lateral connections and noise,0.1,0.05,0.0,0.0,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668077827037569916,400,0.3,0.01,0.02,20.0,None,35.956,None,None,None,None,0.005,None,None,None,113.892,None,None,None,None,0.344,None,None,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.022,0.022,20,None,5694.6,None,None,None,None,17.212,None,None,0.713,0.703,0.703,0.695,0.7,0.707,0.005,0.713,0.695,None,164.25,None,None,None,None,None,None,None,86.74,63.742,60.929,49.356,54.811,72.356,10.771,86.74,49.356,None,0.0,None,None,None,None,None,None,None,56.487,43.942,43.238,28.73,36.639,53.165,8.693,56.487,28.73,time,0,0.0,0.0,0,0.0,0.0,0.0,0,0,11880,11804.25,11805.0,11724,11783.0,11827.25,35.276,11880,11724,113.892,0.344,0.77,0.77,0.768,0.772,0.002,0.773,0.765,5694.6,17.212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1089.303,1089.277,1089.18,1089.414,0.173,1089.679,1089.072,None,None,None,None
single,7,MSMFSingleCAN,10.11.22 - 12:00,Baseline for opt without lateral connections and noise,0.0,0.05,-0.15,0.7,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668077835560366999,400,0.3,0.01,0.02,20.0,None,35.956,None,None,None,None,0.005,None,None,None,113.892,None,None,None,None,0.344,None,None,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,20,None,5694.6,None,None,None,None,17.212,None,None,0.026,0.023,0.023,0.021,0.022,0.025,0.002,0.026,0.021,None,103.463,None,None,None,None,None,None,None,49.976,48.981,49.221,46.656,48.718,49.496,0.844,49.976,47.554,None,0.386,None,None,None,None,None,None,None,29.473,28.5,28.478,27.752,28.132,28.774,0.49,29.473,27.752,time,8037,7945.6,7952.5,7839,7927.25,7971.25,41.434,8037,7892,278,171.65,159.5,125,152.75,164.5,43.16,168,145,113.892,0.344,0.77,0.77,0.768,0.772,0.002,0.773,0.765,5694.6,17.212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.871,2.836,2.762,2.924,0.16,3.087,2.654,None,None,None,None
single,8,MSMFSingleCAN,10.11.22 - 12:01,Baseline for opt without lateral connections and noise,0.0,0.05,0.0,0.0,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668078054978509295,400,0.3,0.01,0.02,20.0,None,35.956,None,None,None,None,0.005,None,None,None,113.892,None,None,None,None,0.344,None,None,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.022,0.022,20,None,5694.6,None,None,None,None,17.212,None,None,0.713,0.703,0.702,0.694,0.7,0.707,0.005,0.713,0.694,None,112.075,None,None,None,None,None,None,None,2.122,0.724,0.624,0.004,0.426,0.931,0.499,1.518,0.004,None,0.0,None,None,None,None,None,None,None,14.755,7.637,7.07,0.043,5.321,10.269,3.786,14.755,0.043,time,0,0.0,0.0,0,0.0,0.0,0.0,0,0,11880,11804.25,11805.0,11724,11783.0,11827.25,35.276,11880,11724,113.892,0.344,0.77,0.77,0.768,0.772,0.002,0.773,0.765,5694.6,17.212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,89.508,89.467,89.39,89.629,0.173,89.905,89.283,None,None,None,None
single,9,MSMFSingleCAN,10.11.22 - 12:08,Baseline for opt without lateral connections and noise,0.1,0.05,0.0,0.0,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668078502876359442,400,0.3,0.01,0.02,20.0,None,35.956,None,None,None,None,0.006,None,None,None,113.99,None,None,None,None,0.379,None,None,0.02,0.019,0.019,0.019,0.019,0.02,0.0,0.02,0.019,20,None,5699.5,None,None,None,None,18.962,None,None,0.648,0.635,0.636,0.622,0.632,0.639,0.006,0.648,0.622,None,156.3,None,None,None,None,None,None,None,96.903,65.32,62.189,51.015,56.13,69.833,12.831,85.258,51.015,None,0.0,None,None,None,None,None,None,None,58.295,43.685,44.716,29.139,37.277,49.733,9.234,58.295,29.139,time,0,0.0,0.0,0,0.0,0.0,0.0,0,0,11844,11788.0,11786.0,11731,11768.25,11803.25,29.276,11844,11731,113.99,0.379,0.0,0.0,0.0,0.0,0.0,0,0,5699.5,18.962,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1080.242,1080.232,1079.979,1080.495,0.339,1080.977,1079.63,160.0,120.0,None,None
single,10,MSMFSingleCAN,10.11.22 - 13:26,Baseline for opt without lateral connections and noise,0.1,0.05,-0.15,0.7,20.0,False,15.92,[],0.5,0.05,200,0.015,0.9,gamma,False,0.01,36.0,1000,True,50,0.0,1668078552293430800,400,0.3,0.01,0.02,20.0,None,35.958,None,None,None,None,0.005,None,None,None,113.801,None,None,None,None,0.435,None,None,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,None,5690.05,None,None,None,None,21.754,None,None,0.028,0.013,0.013,0.011,0.012,0.013,0.003,0.014,0.011,None,103.432,None,None,None,None,None,None,None,51.055,50.69,50.635,50.536,50.555,50.774,0.158,51.055,50.536,None,0.126,None,None,None,None,None,None,None,28.906,28.163,28.042,27.937,27.983,28.327,0.267,28.684,27.937,time,8135,8049.1,8062.0,7902,8027.0,8078.25,51.361,8135,7989,482,246.1,233.5,223,230.0,239.25,54.42,245,223,113.801,0.435,0.77,0.771,0.769,0.771,0.002,0.773,0.765,5690.05,21.754,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22.699,21.614,21.582,21.647,4.732,21.682,21.567,160.0,120.0,None,None
