experiment_num,network_type,fitness_max,I,Iloc,J0,J1,T,disc_step,dt,env_length,field_ratio_threshold,init_value,max_num_tries,num_neurons,prob_dead_neurons,random_seed,s,tau,theta,vel,opt_scaling_factor,opt_alpha,opt_max_field_sizes,population_size,mutation_prob,num_generations,parent_selection_scheme,parent_selection_parameter,expected_mean_field_activity,fitness_fun,time_finished,alpha,max_field_sizes,scaling_factor,opt_J1,opt_J0,opt_I,opt_field_ratio_threshold,allow_field_overlap,mean_field_activity_remove_background,crossover_enabled,num_eval_iters,dead_neuron_ids,selection_rate,mutate_best,reevaluation,opt_theta,gen_fields_at_bin_locs,field_size_distribution,opt_fs_normal_mean,opt_fs_normal_std,random_seed_type
01,MSMFSingleCAN,0.41189,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[0.02, 6.0, 0.02]","[2, 101, 1]",20,0.2,1040,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),07.10.22 - 13:19,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
02,MSMFSingleCAN,0.59253,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[6.0, 10.0, 0.02]","[2, 101, 1]",20,0.2,1300,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),08.10.22 - 12:19,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
03,MSMFSingleCAN,0.968,0.0,0.05,0.0,0.0,20.0,1.0,0.1,200,None,0.01,1000,50,0.0,0,400,0.01,None,10.0,None,"[0.02, 10.0, 0.02]","[2, 101, 1]",20,0.2,1275,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),09.10.22 - 13:27,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
04,MSMFSingleCAN,1.0,0.0,0.05,0.0,0.0,20.0,2.0,0.2,200,None,0.01,1000,50,0.0,0,400,0.01,None,5.0,None,"[0.02, 10.0, 0.02]","[2, 101, 1]",20,0.2,2215,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),10.10.22 - 15:37,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
05,MSMFSingleCAN,0.6085,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[10.0, 15.0, 0.02]","[2, 101, 1]",20,0.2,1100,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),11.10.22 - 12:39,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
06,MSMFSingleCAN,0.60931,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[15.0, 30.0, 0.02]","[2, 101, 1]",20,0.2,3000,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),14.10.22 - 01:50,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",False,gamma,None,None,time
07,MSMFSingleCAN,1.0,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[0.02, 15.0, 0.02]","[2, 101, 1]",20,0.2,315,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),13.10.22 - 16:11,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,"[0.02, 6.0, 0.02]",True,gamma,None,None,time
08,MSMFSingleCAN,0.45542,0.0,0.05,0.0,0.0,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,None,"[2, 101, 1]",20,0.2,3000,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),15.10.22 - 20:57,None,None,0.3,None,None,None,None,False,True,True,20,None,0.2,False,False,None,False,normal,"[0.1, 10.0, 0.1]","[0.1, 10.0, 0.1]",time
09,MSMFSingleCAN,0.00046,0.1,0.05,None,None,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,None,20.0,None,"[0.02, 20.0, 0.02]","[10, 61, 1]",20,0.2,2645,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),18.10.22 - 10:38,None,None,0.3,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",None,"[0.75, 0.95, 0.01]",False,True,True,20,None,0.2,False,False,"[0.02, 2.0, 0.02]",False,gamma,None,None,time
10,MSMFSingleCAN,0.36094,0.0,0.05,None,None,20.0,0.5,0.05,200,None,0.01,1000,50,0.0,0,400,0.01,1.8,20.0,None,None,None,20,0.2,2320,fitness-weighting,None,0.015,np.exp(-pos_error_mean*5/pos_error_max),19.10.22 - 10:58,3.16,30.0,0.3,"[0.02, 1.6, 0.02]","[-0.8, -0.02, 0.02]",None,"[0.01, 1.0, 0.01]",False,True,True,20,None,0.2,False,False,None,False,gamma,None,None,time
