pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons
1.645,2.602,0.121,16.75,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,16.75,16.75,16.75,0.0,1.656,1.645,1.645,1.639,1.641,1.647,0.004,1.656,1.639,0.25,0.121,0.0,0.113,2.604,2.602,2.602,2.6,2.601,2.603,0.001,2.604,2.6,0.0
2.117,2.901,0.157,16.95,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,20.75,16.95,16.75,0.872,2.287,2.117,2.206,1.822,2.031,2.211,0.136,2.287,1.822,0.25,0.157,0.0,0.118,3.673,2.901,2.917,2.698,2.802,2.918,0.192,2.92,2.698,0.05
2.717,3.222,0.143,16.95,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,20.75,16.95,14.75,1.077,3.064,2.717,2.713,2.289,2.569,2.886,0.222,3.064,2.289,0.25,0.143,0.0,0.108,3.776,3.222,3.107,2.91,3.002,3.393,0.258,3.776,2.91,0.1
3.309,3.595,0.15,17.65,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,20.75,17.65,16.75,1.609,4.112,3.309,3.361,2.657,3.124,3.447,0.355,3.864,2.657,0.25,0.15,0.0,0.11,4.19,3.595,3.532,3.051,3.33,3.94,0.368,4.19,3.051,0.15
3.552,3.506,0.226,17.025,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,20.75,17.025,13.75,1.785,4.547,3.552,3.545,2.701,3.23,3.856,0.456,4.547,2.701,0.25,0.226,0.022,0.061,4.417,3.506,3.401,2.646,3.265,3.813,0.413,4.417,2.646,0.2
4.233,4.187,0.145,19.175,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,32.75,19.175,14.75,3.988,5.448,4.233,4.154,3.263,3.957,4.589,0.594,5.448,3.263,0.25,0.145,0.0,0.119,7.067,4.187,4.032,3.063,3.704,4.381,0.805,4.944,3.063,0.25
4.407,3.972,0.17,18.025,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,24.75,18.025,14.75,2.353,5.267,4.407,4.458,3.287,3.988,4.691,0.513,5.267,3.287,0.25,0.17,0.0,0.113,4.778,3.972,3.812,3.442,3.671,4.372,0.4,4.778,3.442,0.3
4.786,4.279,0.214,19.438,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,32.75,19.438,15.25,4.22,5.993,4.786,4.75,3.474,4.326,5.331,0.687,5.993,3.474,0.25,0.214,0.0,0.081,6.739,4.279,4.257,3.207,3.728,4.649,0.768,5.194,3.207,0.35
5.663,5.004,0.218,21.575,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,44.75,21.575,13.25,6.454,7.819,5.663,5.529,3.934,5.165,6.252,0.935,7.819,3.934,0.25,0.218,0.0,0.077,10.444,5.004,4.738,3.299,4.394,5.101,1.422,6.031,3.872,0.4
5.693,4.729,0.191,20.338,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,30.75,20.338,14.75,4.104,7.219,5.693,5.967,3.494,4.971,6.287,0.866,7.219,3.494,0.25,0.191,0.0,0.103,6.58,4.729,4.687,2.982,4.308,5.046,0.812,5.936,3.613,0.45
6.216,5.279,0.22,22.313,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,32.75,22.313,16.25,4.245,7.276,6.216,6.308,4.726,5.929,6.468,0.614,7.276,5.176,0.25,0.22,0.0,0.077,6.904,5.279,5.295,3.973,4.842,5.697,0.77,6.904,3.973,0.5
6.197,5.033,0.237,21.725,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,29.25,21.725,16.75,3.611,7.774,6.197,6.18,4.536,5.488,6.838,0.874,7.774,4.536,0.25,0.237,0.0,0.054,6.351,5.033,4.981,4.033,4.582,5.362,0.715,6.351,4.033,0.55
7.233,5.969,0.237,26.25,0.03,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,1.0,40.75,26.25,18.25,5.36,9.06,7.233,6.961,5.717,6.693,7.781,0.9,9.06,5.717,0.25,0.237,0.0,0.054,9.0,5.969,5.865,4.359,5.372,6.269,1.029,6.882,4.359,0.6
