pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6849,0,0.125,220.692
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6848,0,0.125,220.693
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6850,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6847,0,0.125,220.693
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6853,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6849,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6847,0,0.125,220.693
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6852,0,0.125,220.69
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6851,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6851,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6849,0,0.125,220.692
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6848,0,0.125,220.693
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6852,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6845,0,0.125,220.694
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6850,0,0.125,220.692
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6845,0,0.125,220.693
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6848,0,0.125,220.692
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6851,0,0.125,220.69
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6850,0,0.125,220.691
1.071,1.231,0.0,20.5,0.122,1.0,1.0,1.0,4.0,50.0,50.0,6852,0,0.125,220.691
