pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
6.415,25.386,0.25,126.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.92
6.263,25.448,0.25,130.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.921
6.73,26.087,0.25,126.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.914
7.236,27.622,0.25,130.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.917
7.093,27.753,0.25,134.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.92
3.182,9.573,0.25,45.75,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.921
6.548,25.254,0.25,122.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.92
6.759,27.007,0.25,134.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.913
6.73,26.087,0.25,126.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.918
6.73,26.087,0.25,126.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.917
7.157,26.55,0.25,122.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.91
5.821,21.923,0.25,106.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.92
3.182,9.573,0.25,45.75,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.919
7.359,27.426,0.25,126.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.917
5.893,21.639,0.25,102.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.912
6.366,24.421,0.25,118.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.916
7.965,30.053,0.25,138.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.918
3.182,9.573,0.25,45.75,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.921
6.085,22.493,0.25,106.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.92
6.072,23.765,0.25,118.25,0.036,0.9,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1025.913
